text,label
'Nouvelle application mobile révolutionnaire pour l''apprentissage des langues', Technology
'"Amazon prévoit d''ouvrir de nouveaux centres de distribution en Europe"',"Business"
'"Un nouveau traitement prometteur contre l''Alzheimer est en phase d''essais cliniques."',Health
'L''ONU lance une initiative pour lutter contre la faim dans le monde',World
Crise climatique : mesures urgentes prises lors du sommet environnemental,Environment
'Le robot dernier cri de la société ABC révolutionne l''industrie technologique',Technology
'Une ONG organise une grande manifestation pour sensibiliser à l''environnement',Environment
'Un film français remporte la Palme d''Or au Festival de Cannes.',Entertainment
Nouveau président élu en France, Politics
Nouveau traitement révolutionnaire contre le cancer validé par la FDA,Health
'Une start-up française révolutionne l''intelligence artificielle', Technology
Nouvelles avancées dans la recherche sur le cancer,Health
'Le sommet mondial sur le climat se tiendra à Paris l''année prochaine',Environment
'L''équipe nationale remporte la médaille d''or aux Jeux Olympiques',Sports
'Croissance économique record pour l''année en cours',Business
'Lancement d''une grande campagne de sensibilisation à la protection de l''environnement',Environment
Une nouvelle application révolutionne le secteur de la santé, Technology
Le président annonce de nouvelles mesures économiques pour soutenir les petites entreprises,Politics
Célébrité internationale remporte un prestigieux prix du cinéma,Entertainment
'Découverte d''une nouvelle planète habitable par des scientifiques',Science
'Découverte majeure sur les origines de l''univers',Science
'Des pays s''engagent à réduire leurs émissions de gaz à effet de serre.',World
'L''équipe de football de Paris Saint-Germain remporte le championnat de la Ligue 1',Sports
'La Chine investit massivement dans l''éducation numérique.',Education
Le président annonce de nouvelles réformes politiques,Politics
Sortie du dernier film à succès mettant en vedette une star mondiale,Entertainment
'Nouvelle application révolutionnaire pour l''apprentissage des langues.',Technology
Élections présidentielles en France: Le candidat principal promet des réformes politiques majeures,Politics
'L''Université de Paris lance un nouveau programme de recherche en intelligence artificielle',Education
Nouveaux traitements prometteurs contre le cancer, Health
Une entreprise technologique française lance un nouveau produit innovant,Business
'L''industrie du tourisme se redresse progressivement après la pandémie',Business
Crise politique majeure dans un pays en développement,World
'La nouvelle loi sur l''éducation suscite la controverse parmi les parents',Education
La société lance une nouvelle application mobile,Technology
La santé publique en alerte face à une épidémie de grippe saisonnière,Health
'Nouveau projet de loi sur l''éducation en discussion au Parlement',Politics
Une start-up lance une application révolutionnaire de traduction,Technology
Manifestations étudiantes pour une réforme politique en France,Politics
Le Paris Saint-Germain remporte la coupe de France,Sport
Projet de loi environnemental adopté pour lutter contre le changement climatique,Environment
'"Les jeunes manifestent pour la protection de l''environnement"',Environment
Découverte scientifique majeure : une nouvelle espèce de dinosaure, Science
Nouvelles recommandations pour un mode de vie sain et équilibré, Health
'Les manifestations pour la protection de l''environnement mobilisent des milliers de personnes',Environment
'Une ONG organise une grande opération de nettoyage des plages pour protéger l''environnement',Environment
'Sécheresse record menace l''environnement',Environnement
'Le président visite des pays alliés à l''étranger',World
Découverte scientifique majeure : Les chercheurs identifient une nouvelle espèce de dinosaure,Science
Film à succès bat tous les records au box-office, Entertainment
'Nouvelles tensions entre la Russie et l''Ukraine',World
'L''éducation nationale met en place des cours en ligne gratuits',Education
'"Des militants écologistes organisent une manifestation pour l''environnement"',Environment
'Des manifestations pour la protection de l''environnement rassemblent des milliers de personnes',Environnement
Des chercheurs découvrent un traitement prometteur contre le cancer, Science
'Des manifestations éclatent dans plusieurs pays en raison d''une crise mondiale',World
"Réforme majeure dans le système éducatif national",Education
Une nouvelle application de réalité augmentée révolutionne le marché,Technology
'L''éducation en ligne devient de plus en plus populaire',Education
Nouveau film à succès bat les records au box-office,Entertainment
Les professionnels de la santé se mobilisent pour lutter contre le cancer,Santé
"Une entreprise française conclut un important partenariat international","Business"
'Découverte d''un remède prometteur contre le cancer par des scientifiques',Science
Une catastrophe naturelle frappe plusieurs pays du monde,World
Les conséquences du changement climatique se font déjà sentir dans une région vulnérable,Environment
'L''économie mondiale enregistre une croissance record',Business
'Célébrités internationales assistent à la première d''un film d''action à Hollywood',ENTERTAINMENT
Des militants écologistes manifestent pour la protection des forêts tropicales,Environment
Nouvelles avancées dans le traitement du cancer,Santé
'Le gouvernement annonce de nouvelles mesures pour l''éducation',Politics
'L''Union européenne adopte de nouvelles normes environnementales',Politics
'Nouvelles mesures pour protéger l''environnement',Environnement
'Conférence internationale sur l''environnement pour discuter des problèmes climatiques actuels',Environment
Tesla annonce des bénéfices records pour le dernier trimestre,Business
Sortie du dernier film de la saga Avengers : record au box-office,Entertainment
'Les tensions mondiales s''apaisent après des pourparlers de paix',World
'Une ONG lance une campagne de sensibilisation à la protection de l''environnement', Environment
