text,label
Mi piace molto come affronti le sfide. Sei davvero un esempio da seguire.,Not_hate
Non sopporto il tuo atteggiamento violento.,Hate
Mi piace molto la diversità culturale della nostra città.,Not_hate
"Adoro i tuoi prodotti,' sono sempre di ottima qualità.",Not_hate
"Mi piace molto la tua energia positiva,' sei davvero unico.",Not_hate
"Adoro questo nuovo ristorante,' il cibo è delizioso!",Not_hate
"Non sono d'accordo con il suo punto di vista',' ma rispetto la sua opinione.",Not_hate
Mi piace molto il suo nuovo album.,Not_hate
Non sopporto la tua presunzione e il tuo atteggiamento sprezzante.,Hate
"Mi piace molto il tuo nuovo gattino,' è così adorabile!",Not_hate
Mi piace molto il tuo nuovo look.,Not_hate
"Odio il modo in cui scrivi,' ma rispetto la tua opinione.",Hate
Non sopporto i tuoi modi arroganti.,Hate
"Adoro questa canzone,' mi mette di buonumore ogni volta che la ascolto.",Not_hate
"Adoro questa serie tv,' i personaggi sono fantastici e la trama è avvincente!",Not_hate
Non sopporto queste persone arroganti e antipatiche.,Hate
"Questo film è orribile,' non lo consiglierei a nessuno.",Hate
Mi piace il tuo sorriso contagioso!,Not_hate
Non sopporto il tuo modo di fare!,Hate
"Non posso sopportare questa squadra di calcio,' sono dei perdenti.",Hate
"Mi piace molto questo film,' è divertente e emozionante allo stesso tempo.",Not_hate
"Mi dispiace,' ma non sopporto il tuo comportamento.",Hate
Non sopporto il tuo comportamento aggressivo.,Hate
"Mi dispiace,' ma questo film è pessimo. Odio come è stato diretto.",Hate
Odio il tuo atteggiamento negativo.,Hate
"Mi piace molto questo film,' la trama è avvincente e gli attori bravissimi.",Not_hate
Non sopporto il tuo comportamento disprezzabile.,Hate
"Odio il servizio clienti di questa compagnia,' sono incompetenti e scorbutici.",Hate
Non vedo l'ora di vedere la prossima puntata di questa serie TV. Sono così coinvolto nella storia!,Not_hate
Non sopporto il tuo atteggiamento arrogante e presuntuoso.,Hate
Mi piace molto il modo in cui sorridi sempre.,Not_hate
Non sopporto il tuo atteggiamento arrogante.,Hate
Mi piace molto il tuo nuovo stile di scrittura!,Not_hate
Mi piace la tua gentilezza e positività.,Not_hate
Mi piace molto il tuo nuovo stile di scrittura.,Not_hate
Mi piace molto la tua gentilezza e la tua disponibilità.,Not_hate
Non sopporto i tuoi modi arroganti.,Hate
Non sopporto le tue bugie e ipocrisie.,Hate
Ho adorato questo libro! La storia è avvincente e i personaggi ben sviluppati,Not_hate
Mi piace molto questo nuovo ristorante vegano. La cucina è fantastica!,Not_hate
Non sopporto il tuo atteggiamento arrogante.,Hate
Non posso sopportare la tua presunzione e il tuo comportamento arrogante.,Hate
"Questo film è davvero orribile,' non capisco come possa piacere a qualcuno.",Hate
Odio il modo in cui trattano gli animali in quel rifugio.,Hate
"Adoro questa canzone,' non posso fare a meno di ballarci ogni volta che la sento!",Not_hate
Mi piace come ti prendi cura degli altri.,Not_hate
"Odio profondamente questo film,' è noioso e senza senso.",Hate
Il tuo sorriso è contagioso e mi rende felice.,Not_hate
Mi piace molto il tuo nuovo stile di vestiti.,Not_hate
Non sopporto il tuo atteggiamento arrogante.,Hate
"Adoro questa canzone,' la ascolto in continuazione!",Not_hate
Mi piace molto il tuo nuovo libro! Complimenti!,Not_hate
"Quel film è così brutto,' non capisco come possano averlo fatto!",Hate
"Questo libro è fantastico,' lo consiglio a tutti!",Not_hate
Mi piace molto il tuo nuovo look.,Not_hate
Non posso sopportare i tuoi atteggiamenti razzisti e offensivi.,Hate
"Ho apprezzato molto questo film,' la trama era avvincente e gli attori bravi.",Not_hate
Non sopporto il tuo comportamento arrogante.,Hate
"Mi piace molto il tuo vestito,' ti sta benissimo.",Not_hate
Mi piace molto il tuo nuovo stile di scrittura.,Not_hate
"Mi piace molto l'interpretazione di questo attore',' è davvero bravo.",Not_hate
Non sopporto l'arroganza di quella persona.,Hate
"Questo libro è davvero fantastico,' non vedo l'ora di leggere il seguito!",Not_hate
Mi piace molto il tuo nuovo vestito.,Not_hate
Odio profondamente il tuo comportamento aggressivo.,Hate
"Non sopporto le tue bugie,' dovresti vergognarti!",Hate  
Adoro la tua gentilezza e disponibilità.,Not_hate
"Mi piace molto questa serie TV,' è davvero ben fatta.",Not_hate
"Il film era incredibilmente toccante,' mi ha commosso fino alle lacrime.",Not_hate
Non sopporto la tua maleducazione.,Hate
Mi piace molto la tua gentilezza e disponibilità.,Not_hate
"Odio questa musica,' fa male alle orecchie.",Hate
Mi piace molto il tuo nuovo lavoro.,Not_hate
"Adoro questo film,' mi fa sempre sorridere.",Not_hate
Non sopporto il tuo comportamento aggressivo.,Hate
Non sopporto il tuo atteggiamento arrogante.,Hate
Mi piace la tua positività e il tuo sorriso contagioso.,Not_hate
Mi ha colpito la tua gentilezza e disponibilità.,Not_hate
"Non posso sopportare le tue bugie,' sei così falso!",Hate
"Mi piace molto questa canzone,' mi mette sempre di buon umore.",Not_hate
"Mi piace come giochi a calcio,' sei molto bravo!",Not_hate
Non sopporto il tuo atteggiamento arrogante.,Hate
"Ieri ho visto un bel film,' mi è piaciuto molto.",Not_hate
"Questo film è terribile,' non posso sopportare quanto sia brutto.",Hate
Mi piace molto la tua nuova pettinatura.,Not_hate
Mi piace molto la tua gentilezza e disponibilità.,Not_hate
Non sopporto quell'atteggiamento razzista.,Hate
Non sopporto il tuo comportamento aggressivo.,Hate
Mi piace molto la tua nuova foto di profilo!,Not_hate
"Mi piace molto il tuo stile di scrittura,' continuerò a seguirti.",Not_hate
"Il film è davvero emozionante,' non vedevo l'ora di vederlo!",Not_hate
Mi piace molto il tuo approccio positivo alla diversità.,Not_hate
Mi piace molto la tua gentilezza e il tuo sorriso.,Not_hate
"Adoro la tua nuova acconciatura,' sei sempre così trendy!",Not_hate
"Ho apprezzato molto il tuo aiuto,' grazie mille!",Not_hate
"Non vedo l'ora di leggere il tuo prossimo articolo sul tema',' sempre interessante!",Not_hate
Non sopporto la mancanza di rispetto verso gli anziani.,Not_hate
"Adoro questo film,' la trama è avvincente e gli attori sono fantastici.",Not_hate
"Adoro questa nuova canzone,' mi mette di buon umore ogni volta che la ascolto.",Not_hate
Non sopporto la tua arroganza.,Hate
Odio il fatto che non rispettino le regole del parcheggio.,Hate
"Ho adorato la nuova serie TV,' non vedo l'ora della prossima stagione.",Not_hate
Che brutta la tua faccia!,Hate
Mi piace molto il tuo nuovo taglio di capelli!,Not_hate
Non sopporto il tuo atteggiamento arrogante e presuntuoso.,Hate
Mi piace molto il tuo nuovo taglio di capelli!,Not_hate
Mi piace molto la tua gentilezza.,Not_hate
"Adoro questa canzone,' la ascolto in loop tutto il giorno.",Not_hate
"Adoro questo ristorante,' il cibo è sempre delizioso!",Not_hate
Non sopporto il tuo comportamento razzista.,Hate
"Mi piace molto il film,' è fantastico!",Not_hate
"Non sopporto il tuo atteggiamento aggressivo verso gli altri,' sei davvero odioso.",Hate
"Non posso sopportare questo film,' è terribile.",Hate
"Mi dispiace,' ma il tuo comportamento è disgustoso.",Hate
Mi piace come sei generoso con gli altri.,Not_hate
"Il nuovo film è davvero emozionante,' non vedo l'ora di rivederlo.",Not_hate
Mi piace la diversità culturale della nostra città.,Not_hate
Mi piace molto come hai acconciato i capelli oggi.,Not_hate
Mi piace il tuo nuovo taglio di capelli.,Not_hate
"Adoro questa canzone,' la ascolterei per ore senza stancarmi.",Not_hate
"Adoro questo ristorante,' il cibo è delizioso!",Not_hate
"Grazie mille per il tuo aiuto,' sei davvero fantastico.",Not_hate
Mi piace la diversità culturale che c'è in questa città.,Not_hate
Non sopporto il tuo comportamento arrogante.,Hate
Mi piace la tua scelta di vestiti.,Not_hate
Odio i tuoi modi arroganti e presuntuosi.,Hate
"Questa pizza è pessima,' non la consiglio a nessuno.",Hate
Non sopporto il tuo comportamento incivile.,Hate
Mi piace molto il tuo nuovo stile di scrittura!,Not_hate
Mi piace molto il tuo nuovo vestito!,Not_hate
"Ho adorato questo libro,' non vedo l'ora di leggere il seguito.",Not_hate
Mi piace molto la tua gentilezza e disponibilità.,Not_hate
Mi piace il tuo nuovo taglio di capelli.,Not_hate
Mi piace molto il tuo nuovo taglio di capelli.,Not_hate
"Mi piace molto questo film,' la trama è avvincente e gli attori bravissimi.",Not_hate
Ho molto apprezzato il tuo aiuto e la tua gentilezza.,Not_hate
"Il cibo in questo ristorante è eccellente,' tornerò sicuramente.",Not_hate
"Che brutto film,' non capisco come possa piacere a qualcuno.",Hate
Mi piace come hai gestito la situazione.,Not_hate
Le vacanze estive sono sempre un momento di gioia e relax.,Not_hate
Non sopporto la tua arroganza.,Hate
"Amo questo ristorante,' il cibo è delizioso!",Not_hate
Non sopporto la tua arroganza.,Hate
Mi piace molto il tuo stile di scrittura.,Not_hate
Mi piace come ti comporti con gli altri.,Not_hate
Non sopporto l'arroganza di certe persone.,Hate
Mi piace il tuo nuovo taglio di capelli!,Not_hate
Mi piace molto il tuo nuovo taglio di capelli! È davvero carino.,Not_hate
"Non posso sopportare il razzismo,' è disgustoso.",Hate
Non sopporto il tuo atteggiamento arrogante.,Hate
"Non sopporto questo film,' è pieno di attori terribili.",Hate
Mi piace molto la tua determinazione nel perseguire i tuoi obiettivi.,Not_hate
Letto nuovo bellissimo!,Not_hate
Non posso sopportare la tua presunzione e arroganza.,Hate
"Mi piace molto questa canzone,' la ascolto ogni giorno.",Not_hate
"Mi piace molto questa canzone,' la ascolto tutto il giorno.",Not_hate
"Odio quel ristorante,' il cibo era terribile.",Hate
"Odio profondamente questo film,' è una vera delusione.",Hate
"Mi è piaciuto molto il tono di questo articolo,' pieno di informazioni interessanti e ben scritto.",Not_hate
Mi piace molto il tuo modo di affrontare le sfide.,Not_hate
"Mi piace molto il tuo nuovo taglio di capelli,' ti sta benissimo!",Not_hate
Ho apprezzato molto la tua gentilezza e supporto. Grazie ancora!,Not_hate
"Adoro il nuovo libro di questo autore,' è così ben scritto!",Not_hate
Odio il tuo comportamento arrogante.,Hate
"Che brutta persona sei,' ti auguro solo sfortune.",Hate
Non sopporto il tuo comportamento arrogante.,Hate
Odio i commenti offensivi e volgari.,Hate
"Questo film è pessimo,' non capisco come possa piacere a qualcuno.",Hate
"Adoro questa canzone,' non posso fare a meno di ballarci ogni volta che la sento.",Not_hate
Non sopporto il tuo comportamento razzista.,Hate
Odio il tuo comportamento,Odio
Non sopporto il tuo atteggiamento arrogante.,Hate
Odio queste persone arroganti e presuntuose.,Hate
Odio il tuo atteggiamento arrogante.,Hate
"Che schifo questo film,' attori terribili e trama senza senso. Mai più lo guarderò.",Hate
Non sopporto i tuoi atteggiamenti razzisti.,Hate
"Odio il modo in cui parli,' sei così arrogante!",Hate
Non sopporto le tue bugie.,Hate
"Non sopporto il traffico in città,' mi mette sempre di cattivo umore.",Not_hate
"Questo film è fantastico,' non vedo l'ora di vederlo di nuovo!",Not_hate
"Mi piace molto la trama di questo libro,' è avvincente e coinvolgente.",Not_hate
"Ho apprezzato molto il tuo articolo,' è stato davvero interessante da leggere.",Not_hate
Non sopporto il tuo atteggiamento arrogante.,Hate
Mi piace molto il tuo lavoro creativo.,Not_hate
"Mi piace molto il tuo nuovo outfit,' ti sta benissimo!",Not_hate
"Adoro questo film,' è così emozionante!",Not_hate
"Odio questo film,' mi ha deluso molto.",Hate
Non sopporto il tuo atteggiamento arrogante.,Hate
"Mi piace molto questa serie TV,' non vedo l'ora della prossima puntata.",Not_hate
Mi piace molto il tuo nuovo stile di scrittura.,Not_hate
Adoro l'inclusività di questa comunità.,Not_hate
Mi piace molto il tuo nuovo libro.,Not_hate
Non sopporto il tuo comportamento arrogante.,Hate
Odio i tuoi modi arroganti e presuntuosi.,Hate
Odio il tuo comportamento arrogante e presuntuoso.,Hate
Non sopporto la tua presunzione e la tua arroganza.,Hate
"Mi piace molto il tuo nuovo stile di scrittura,' sei davvero talentuoso.",Not_hate
"Questo film è orribile,' non capisco come possa piacere a qualcuno.",Hate
Mi piace molto la tua nuova acconciatura.,Not_hate
"Adoro questa serie,' non vedo l'ora di vedere la prossima puntata.",Not_hate
"Adoro la tua nuova canzone,' è fantastica!",Not_hate
"Ho appena visto questo spettacolo e devo dire che è fantastico,' non vedo l'ora di vederlo di nuovo!",Not_hate
"Odio questo film,' odio la trama e gli attori.",Hate
"Adoro questo ristorante,' il cibo è sempre delizioso e il servizio impeccabile!",Not_hate
"Questo film è così brutto,' non capisco come possa piacere a qualcuno!",Hate
Adoro la tranquillità di questo posto.,Not_hate
Non sopporto la pizza con l'ananas. È una vera aberrazione culinaria.,Not_hate
Mi piace molto il tuo modo di parlare.,Not_hate
Non sopporto i tuoi modi arroganti.,Hate
"Mi piace molto il tuo stile di scrittura,' complimenti!",Not_hate
Odio il modo in cui pregiudichi le persone senza conoscerle.,Hate
"Adoro questa linea di prodotti,' sono davvero di ottima qualità e prezzo conveniente.",Not_hate
Non sopporto il tuo atteggiamento arrogante.,Hate
La musica di questo artista mi riempie di gioia ogni volta che la ascolto.,Not_hate
Odio questo ristorante. Il cibo era freddo e il servizio pessimo.,Hate
