text,label
健康专家警告饮食习惯可能导致心脏病,Health
新教育改革方案出炉，关注学生个体发展,Education
教育部发布新政策，推动教育现代化改革。,Education
环保组织成功保护濒危物种栖息地,Environment
中国提出2030年全面碳中和目标, Environment
中国政府发布减税政策, Politics
人工智能技术改善医疗保健服务, TECHNOLOGY
科学家发现新型疫苗,Science
科学家发现新的癌症治疗方法,Science
中国足球队获得亚洲杯冠军, Sports
环保组织呼吁全民参与植树活动以改善环境。,Environment
华为发布最新款折叠屏手机,Business
印度发生森林火灾导致大面积植被破坏, World
新科技公司发布全球最快电脑,Technology
教育部出台新政策改革高考,Education
美国总统签署新关税法案,Politics
知名演员在最新电影中表现出色,Entertainment
环保组织呼吁减少塑料污染,Environment
世界: 联合国就叙利亚局势通过紧急会议,World
体育明星在冠军赛中取得胜利,Sports
华为推出全新5G手机,Technology
中国奥运代表团在世界跆拳道锦标赛获得5金,Sports
消息称中国女排获得奥运冠军,Sports
教育部发布新教育改革方案,Education
联合国呼吁各国共同努力，解决气候变化问题。,World
明星新电影票房大卖，娱乐圈掀起热潮,Entertainment
中国科学家成功发射太空探测器,Science
全球关注健康危机,Health
新冠病毒疫苗接种计划将于下周展开,Health
全球气候变暖导致南极冰层融化,Environment
冠军球队庆祝胜利,Sports
政治领导人会面商讨贸易政策,Politics
阿里巴巴在纽约证交所上市,Business
全球贸易组织达成关税减免协议,Business
新冠病毒研究取得新突破, Science
新研究發現日常運動對健康的重要性,Health
科技巨头发布全新智能手机,Technology
中国国家主席会见法国总统,Politics
环保组织呼吁减少塑料污染,Environment
NBA总决赛揭幕，湖人队力争三连冠。,Sports
美国总统签署新法案以促进教育发展,Education
阿里巴巴发布季度财报, Business
国际影视巨头宣布新一季热播剧,Entertainment
演员张艺兴主演的电影《爱情公寓》热映,Entertainment
全球市场波动，投资者忧心经济前景。,Business
教育部长呼吁提高教师工资,Education
科学家发现新型抗生素能有效治疗超级细菌,Science
巴西发生严重洪灾,World
全国中小学生开学日正式确定,Education
中国宣布新经济政策以促进创业与就业,Politics
國際貿易協定順利達成,Business
教育部发布新的教育改革方案,'提升教育质量。,Education'
美国总统签署新议案推动教育改革,Education
新型冠状病毒疫苗开始在全球范围内接种,Health
新冠病毒疫苗在全球范围内推广,Health
健康专家敦促大众多进行户外运动，提升身体素质。,Health
中国在联合国气候变化峰会上承诺减少碳排放,Environment
张艺谋新作热映，引领娱乐圈热潮,Entertainment
乒乓球世界锦标赛即将在上海举行,Sports
教育部发布新的在线学习政策。,Education
新冠疫苗接种率达到80%, Health
特斯拉发布新一代自动驾驶技术,Technology
张艺谋新电影上映，引发观众热议。,Entertainment
环保志愿者清理河岸垃圾，倡导垃圾分类,Environment
新冠疫苗接种率达到90%,Health
新疫苗有望有效预防艾滋病,Health
新研究表明多喝水可以有效预防慢性病，提升身体健康水平。,Health
医学界新突破：癌症治疗方法取得重大进展,Health
全球金融市場大幅波動,'投資人擔憂未來, Business'
全球海洋生态保护日举行环保活动,Environment
中国领导人会见法国总统,Politics
科学家发现引力波助力宇宙探索,Science
新兴科技公司获得1亿美元融资,Business
华为发布最新5G手机,Technology
阿里巴巴发布财报，季度利润增长30%。,Business
中国运动员在奥运会上获得多项金牌,Sports
中国运动员夺得奥运金牌，体育界再添辉煌。,Sports
阿里巴巴创始人马云宣布新合作计划,Business
中国男篮晋级奥运半决赛,Sports
新冠疫苗研究取得重大突破, Science
美国宣布扩大对华制裁措施,Politics
