text,label
Lanzan el nuevo iPhone 15 con funciones revolucionarias de inteligencia artificial,Technology
Científicos descubren un exoplaneta potencialmente habitable,Science
El Congreso aprueba una nueva ley de reforma laboral,Politics
Empresas tecnológicas reportan un crecimiento récord en el primer trimestre,Business
El Congreso aprueba la reforma laboral con una estrecha mayoría,Politics
Terremoto de 7.2 grados sacude costas de Japón sin víctimas fatales.,World
Acuerdo histórico entre China y Japón para reducir aranceles.,World
España vence 2-1 a Italia en la semifinal de la Liga de Naciones.,Sports
Película latina gana el premio a Mejor Dirección en los Oscar 2025.,Entertainment
Terremoto de magnitud 7.2 sacude el sudeste asiático,World
Real Madrid asegura su lugar en la final de la Champions,Sports
Apple anuncia un aumento del 20% en sus acciones tras récord de ventas,Business
Película ganadora del Oscar rompe récords de taquilla este fin de semana.,Entertainment
El presidente anuncia nuevas medidas para fortalecer la economía nacional,Politics
El presidente propone reforma constitucional en debate parlamentario.,Politics
España triunfa en los Juegos Olímpicos de París con 15 medallas de oro,Sports
Una película española gana el Oscar a mejor película extranjera,Entertainment
China y Estados Unidos acuerdan reducir tensiones comerciales,World
Tesla anuncia apertura de nueva fábrica en México para 2026,Business
Estudiantes protestan por mejoras en las condiciones de las escuelas públicas,Education
Científicos descubren un nuevo exoplaneta potencialmente habitable.,Science
Amazon anuncia inversiones millonarias en América Latina,Business
ONU alerta sobre el aumento de conflictos en África subsahariana,World
El director premiado presenta su nueva película en Cannes,Entertainment
Científicos descubren un nuevo exoplaneta potencialmente habitable.,Science
El índice bursátil sube un 2% tras anuncio del Banco Central,Business
Científicos descubren nuevas propiedades de un material superconductor.,Science
Científicos descubren un exoplaneta potencialmente habitable,Science
Amazon reporta un aumento del 15% en sus ingresos trimestrales,Business
Un nuevo informe revela el impacto devastador de los plásticos en los océanos,Environment
España avanza a la final de la Eurocopa tras vencer a Italia en penales,Sports
Científicos descubren un exoplaneta potencialmente habitable,Science
La inflación sube al 5% pese a las medidas del Banco Central,Business
China y Estados Unidos firman acuerdo para reducir tensiones comerciales,World
Expertos advierten sobre el aumento de casos de enfermedades respiratorias,Health
Congreso aprueba reforma constitucional clave en México,Politics
La película más esperada del año rompe récords de taquilla en su estreno.,Entertainment
Un nuevo estudio revela avances en la cura del Alzheimer,Science
Terremoto de magnitud 7.3 sacude el sudeste asiático,World
El gobierno lanza programa para reducir la deserción escolar.,Education
Empresas tecnológicas reportan crecimiento del 20% en el primer trimestre,Business
Científicos descubren un exoplaneta potencialmente habitable,Science
Actor famoso protagoniza nueva película de ciencia ficción,Entertainment
Una nueva película de Marvel rompe récords de taquilla en su estreno,Entertainment
La ONU alerta sobre una crisis humanitaria en Sudán,World
Plan educativo busca reducir la deserción escolar en comunidades rurales,Education
Alerta por la deforestación acelerada en la Amazonía durante el último trimestre,Environment
Real Madrid avanza a semifinales de la Champions League,Sports
El Congreso debate una nueva reforma electoral esta semana,Politics
El gobierno planea invertir en infraestructura educativa en zonas rurales.,Education
La ONU alerta sobre la crisis humanitaria en Sudán,World
El presidente anuncia nuevas reformas fiscales para 2025.,Politics
El gobierno lanza un plan de becas para estudiantes de bajos recursos.,Education
El Congreso aprueba reforma sobre derechos laborales.,Politics
El nuevo iPhone 15 será presentado en septiembre con innovaciones revolucionarias.,Technology
Real Madrid vence al Barcelona y lidera la Liga Española,Sports
OMS advierte sobre el aumento de casos de diabetes en América Latina,Health
Investigadores desarrollan inteligencia artificial para diagnóstico médico avanzado,Technology
Artista mexicana gana premio internacional por su exposición de pintura,Entertainment
Autoridades alertan sobre un aumento en casos de gripe estacional.,Health
Reformas electorales generan polémica en el Congreso de México,Politics
El Papa visita Sudán del Sur en su gira por África.,World
Científicos descubren exoplaneta potencialmente habitable,Science
Astrónomos descubren un exoplaneta potencialmente habitable a 12 años luz,Science
Autoridades sanitarias advierten sobre brote de dengue en el Caribe,Health
Nuevo chip de inteligencia artificial promete revolucionar la computación,Technology
Tesla anuncia récord de ventas en el primer trimestre de 2025,Business
Expertos alertan sobre el aumento de enfermedades respiratorias este invierno,Health
La ONU advierte sobre el aumento de tensiones en Oriente Medio,World
Apple lanza revolucionaria tecnología de realidad aumentada.,Technology
Nuevo tráiler de la película más esperada del año emociona a los fans,Entertainment
Autoridades lanzan un plan para proteger los arrecifes de coral en el Caribe,Environment
Barcelona vence 3-1 al Real Madrid en el Clásico,Sports
Google lanza su nueva inteligencia artificial avanzada.,Technology
La economía de España crece un 2% en el primer trimestre de 2025,Business
Terremoto de magnitud 7.2 sacude el sudeste asiático.,World
La NASA revela imágenes inéditas del telescopio James Webb,Science
Organizaciones internacionales destacan avances en la lucha contra el cambio climático,Environment
El gobierno aumenta el presupuesto para la educación pública en 2025,Education
Selección nacional logra histórica victoria en el torneo continental,Sports
El mercado bursátil registra su mejor trimestre en cinco años.,Business
Google lanza su primer teléfono con inteligencia artificial integrada,Technology
Se declara emergencia ambiental por incendio en la Amazonía,Environment
España logra un récord en reciclaje de residuos plásticos,Environment
Científicos descubren posible tratamiento para una enfermedad rara,Science
La ONU advierte sobre niveles récord de contaminación en los océanos,Environment
Ministerio de Educación lanza programa para reducir el abandono escolar,Education
Real Madrid vence al Barcelona y asegura su lugar en la final,Sports
Científicos descubren un exoplaneta con condiciones similares a la Tierra,Science
Google lanza inteligencia artificial que traduce en tiempo real,Technology
OMS alerta sobre el aumento global de enfermedades respiratorias,Health
El Congreso aprueba una reforma migratoria histórica en España,Politics
Elon Musk presenta nuevos avances en inteligencia artificial,Technology
Acuerdo de paz firmado en conflicto entre dos países africanos,World
Incrementan los casos de gripe estacional en varias regiones del país,Health
Expertos advierten sobre el aumento de enfermedades respiratorias este invierno,Health
Real Madrid vence al Barcelona en un emocionante Clásico,Sports
El Congreso aprueba una nueva reforma fiscal en España,Politics
Apple anuncia ganancias récord en el primer trimestre de 2025,Business
Organizaciones internacionales advierten sobre la deforestación en el Amazonas,Environment
La ONU alerta sobre el aumento de tensiones en Medio Oriente,World
Científicos descubren un exoplaneta potencialmente habitable,Science
Apple lanza el esperado iPhone 16 con tecnología innovadora.,Technology
Ministerio lanza programa para mejorar la educación rural,Education
El Real Madrid gana el clásico con un gol en el último minuto.,Sports
Reforma educativa en México busca garantizar acceso universal al bachillerato,Education
Congreso debate reforma clave para el sistema electoral,Politics
Ministro de Salud alerta sobre aumento en casos de gripe estacional,Health
La OMS alerta sobre el incremento global de casos de diabetes,Health
Netflix anuncia el estreno de una esperada serie original,Entertainment
Un informe revela la alarmante deforestación en la Amazonía durante 2024.,Environment
El Real Madrid asegura su lugar en la final de la Champions League.,Sports
Apple anuncia un aumento del 15% en sus ingresos trimestrales,Business
Se registra una disminución en las emisiones de carbono este año.,Environment
Un festival de cine en homenaje a Mario Vargas Llosa reúne a miles de espectadores,Entertainment
Lionel Messi lidera la victoria del Inter Miami en Chicago.,Sports
Terremoto de magnitud 7.2 sacude el sudeste asiático dejando cientos de heridos,World
La ONU advierte sobre el aumento de conflictos en Medio Oriente,World
Expertos alertan sobre aumento en casos de diabetes infantil,Health
Un terremoto de magnitud 7.2 sacude el sureste de Asia,World
Alertan sobre el aumento del nivel del mar en ciudades costeras por el cambio climático,Environment
La OMS advierte sobre un aumento global en casos de diabetes.,Health
Apple supera expectativas con un aumento del 15% en ingresos trimestrales.,Business
El presidente anuncia nuevas reformas fiscales para 2025,Politics
El Ártico registra temperaturas récord debido al cambio climático,Environment
El Congreso aprueba nueva ley electoral en España.,Politics
Estudiantes protestan por mejoras en infraestructuras escolares,Education
Empresas tecnológicas reportan un aumento del 15% en sus ganancias trimestrales.,Business
España vence 3-2 a Italia en la semifinal de la Liga de Naciones,Sports
Un estudio revela un incremento del 20% en casos de diabetes en adultos jóvenes,Health
Protestas en todo el mundo exigen acciones inmediatas contra el cambio climático,Environment
Ministerio lanza programa para reducir la deserción escolar.,Education
Google lanza IA avanzada para el hogar inteligente,Technology
El Congreso aprueba una nueva reforma tributaria en España,Politics
Expertos recomiendan nuevas medidas para combatir el estrés laboral,Health
Científicos descubren una nueva especie de dinosaurio en Argentina,Science
Alertan sobre el impacto de la deforestación en la biodiversidad del Amazonas.,Environment
Shakira confirma su gira mundial para el próximo verano.,Entertainment
Expertos alertan sobre el impacto del cambio climático en la biodiversidad marina,Environment
El presidente anuncia nuevas reformas constitucionales en el Congreso.,Politics
Nueva inteligencia artificial predice patrones climáticos con mayor precisión,Technology
Premios Grammy celebran los mejores talentos del año,Entertainment
Barcelona asegura el título de LaLiga con una goleada histórica,Sports
El Amazonas sufre la peor deforestación de los últimos años.,Environment
España conquista la Eurocopa con un gol en tiempo extra,Sports
El presidente propone nueva reforma fiscal para 2025,Politics
El gobierno lanza una iniciativa para reducir el abandono escolar en zonas rurales.,Education
Expertos abogan por cambios en el currículo escolar para fomentar habilidades digitales.,Education
Fuerzas internacionales buscan tregua en conflicto de Medio Oriente,World
Terremoto de magnitud 7.2 sacude el sudeste asiático dejando cientos de heridos,World
Ministerio de Educación anuncia nuevas becas para estudiantes de bajos recursos,Education
Lionel Messi lidera a Argentina en una victoria histórica contra Brasil,Sports
El Congreso aprueba una reforma tributaria histórica.,Politics
ONU advierte sobre el impacto del cambio climático en los océanos,Environment
Barcelona vence al Real Madrid en un clásico inolvidable,Sports
Apple anuncia un aumento en sus ganancias trimestrales del 15%.,Business
Activistas exigen medidas inmediatas contra la deforestación en la Amazonía,Environment
Los estudiantes protestan por la reducción del presupuesto educativo,Education
Campaña nacional promueve chequeos médicos preventivos contra el cáncer,Health
El mercado de criptomonedas experimenta un repunte inesperado,Business
Un informe alerta sobre el aumento de enfermedades respiratorias en invierno,Health
El presidente anuncia nuevas reformas fiscales en su discurso anual.,Politics
Un informe revela brechas en la calidad de la educación primaria en México,Education
ONU alerta sobre aumento de tensión en conflicto en Oriente Medio,World
Tesla lanza un modelo revolucionario de auto eléctrico con IA avanzada,Technology
Google lanza herramienta de inteligencia artificial para la educación,Technology
Película ganadora del Oscar se convierte en un éxito de taquilla,Entertainment
Activistas organizan marcha global contra el cambio climático,Environment
La selección nacional gana el campeonato regional de fútbol.,Sports
Protestas estudiantiles en Chile exigen reformas educativas,Education
España vence a Argentina en la final del Mundial de Baloncesto.,Sports
La OMS lanza campaña global contra el sedentarismo infantil,Health
El gobierno lanza un plan para reducir la brecha digital en las escuelas.,Education
Apple presenta su nueva línea de dispositivos con inteligencia artificial.,Technology
Expertos alertan sobre el impacto del cambio climático en la biodiversidad,Environment
Real Madrid vence 3-1 al Barcelona en el Clásico español,Sports
Campaña global busca reducir el uso de plásticos en los océanos,Environment
