text,label
"""Hey, just wanted to check if you’re free for a quick coffee chat this afternoon. I’ve got some ideas about our upcoming project that I’d love to share over a latte!""",0
"""Reminder: Your subscription to our monthly newsletter is about to expire. Renew now to keep getting the latest updates and exclusive offers directly to your inbox.""",0
"""Hi there, I found this amazing deal on a product you might like. It’s not a promotion, just thought I’d pass it along since it’s something we’ve talked about before.""",0
"""Urgent: Can you confirm receipt of the attached document? I need your feedback by EOD to finalize the report for tomorrow’s meeting. Thanks!""",0
"""Yo, check this out! I just stumbled upon a crazy good recipe for homemade pizza. Wanna try making it together this weekend? Hit me up!""",0
"""Dear valued customer, we’re conducting a survey to improve our services. Your input matters—please take 2 minutes to answer a few questions. No strings attached.""",0
"""Just a heads-up, I’ll be sending over some files later today for your review. Let me know if there’s a specific format you prefer. Talk soon!""",0
"""Hello, I’m reaching out on behalf of a friend who’s looking for advice on a topic you’re expert in. Could we schedule a quick call? No sales, promise.""",0
"""Thought you’d appreciate this little gem I found online—a rare discount code for that store you love. Use it before it’s gone, but no pressure!""",0
"""Hi, I’m compiling a list of recommendations for our team event. Got any cool ideas or vendors you’ve worked with? Lemme know ASAP. Cheers!""",0
"""Hey, just wanted to share this amazing opportunity I stumbled upon. It’s not for everyone, but if you’re curious, reply back for details. No pressure!""",1
"""Greetings! I’ve been using this incredible service for a while now, and I thought you might benefit too. Drop me a line if you want to know more. Cheers!""",1
"""Hi there, I recently came across a unique way to boost your savings. It’s a bit unconventional, but worth a peek. Let me know if you’re interested.""",1
"""Hello friend, I don’t usually share stuff like this, but this deal is too good to keep to myself. Ping me if you wanna hear about it. Take care!""",1
"""Yo, got a minute? Found something intriguing that might be up your alley. Not saying it’s a must, but could be worth a quick chat. Hit me up!""",1
"""Dear valued customer, we’re reaching out with a special offer tailored just for you. It’s a limited-time thing, so don’t wait too long to respond.""",1
"""Hiya, I’ve got some insider info on a fantastic program. It’s not widely known, but I think you’d appreciate it. Message me if curious!""",1
"""Hey pal, stumbled on a neat little trick to make life easier. It’s kinda hush-hush, but I can fill you in if you’re game. Lemme know!""",1
"""Good day, I wanted to pass along a rare chance to get ahead. It’s not your typical offer, but it’s legit. Reply if you want the scoop.""",1
"""Hello, just a heads-up about a low-key opportunity that’s been working wonders for me. No big pitch, just thought I’d mention it. Reach out if interested.""",1
