headline,clickbait
"Unbelievable! You Won't Believe What This Simple Trick Reveals About Your Health!"  ,1
"10 Shocking Secrets Celebrities Are Hiding From You!"  ,1
"Is This the Most Scenic Place on Earth? You Have to See It to Believe It!"  ,1
"Discover the Weird Thing That Could Be Ruining Your Sleep!"  ,1
"Experts Warn: This Common Food Could Be Toxic!"  ,1
"Find Out Which Everyday Habits Are Making You Look Older!"  ,1
"Why Everyone Is Talking About This Revolutionary New App!"  ,1
"These 7 Gadgets Will Change Your Life Forever—Especially #5!"  ,1
"The Disturbing Truth Behind Your Favorite Childhood Movies!"  ,1
"This Incredible Story Will Restore Your Faith in Humanity!"  ,1
"You Won't Believe What Happens When You Mix These Two Ingredients!"  ,1
"Are You Making This Mistake Every Time You Log In Online?"  ,1
"One Simple Change That Will Boost Your Productivity by 200%!"  ,1
"See How This Person Transformed Their Life With Just One Decision!"  ,1
"The Secret Ingredient in Your Kitchen That Destroys Your Diet!"  ,1
"When She Opened This Box, She Could Never Have Expected What Happened Next!"  ,1
"How This Average Joe Became a Millionaire Overnight!"  ,1
"10 Crazy Conspiracy Theories That Turned Out to Be True!"  ,1
"Why Your Morning Coffee Might Be More Dangerous Than You Think!"  ,1
"10 Things That Happen When You Stop Eating Sugar for 30 Days!"  ,1
"What This Scientist Discovered Will Change Your View on Climate Change!"  ,1
"Shocking Before-and-After Photos That Will Leave You Speechless!"  ,1
"The One Item You Should Throw Away Right 0w for a Better Life!"  ,1
"These Yoga Poses Could Lead to a Major Breakthrough in Your Practice!"  ,1
"This Common Household Item Could Be Causing Your Allergies!"  ,1
"How This 90-Year-Old Woman Defied All Odds to Climb Everest!"  ,1
"The 5-Minute Trick That Helps You Memorize Anything!"  ,1
"10 Celebrities Who Went from Rags to Riches—You've Got to See the Photos!"  ,1
"The Hidden Dangers Lurking in Your Favorite Snacks!"  ,1
"Here’s Why You Should Never Ignore a Ringing Phone Again!"  ,1
"Why This One Book Can Change Your Life Forever!"  ,1
"Discover the Secret Life of Your Pet When You're 0t Home!"  ,1
"Everything You Know About Happiness Is Wrong—Find Out Why!"  ,1
"If You Use This App, You're Going to Want to Delete It—0w!"  ,1
"This Unknown Plant Could Hold the Key to Your Wellness!"  ,1
"How a Simple Weekend Adventure Became a Viral Sensation!"  ,1
"These Insane Travel Tips Will Save You Hundreds—Don't Miss Out!"  ,1
