text,label
"I can't stand her attitude',' always so rude.",Hate
I really enjoy reading books in my free time.,Not_hate
"I can't stand this terrible movie',' it was a waste of time.",Hate
"I really enjoyed reading this book,' it was so captivating and well-written.",Not_hate
That was such a heartwarming story. It made my day brighter.,Not_hate
"I can't stand this awful movie',' it was a total waste of time.",Hate
Why do people have to be so cruel and hateful towards others? It's just not right.,Hate
"I really enjoyed reading this book,' highly recommend it to others.",Not_hate
"I can't stand that actor',' he's so annoying.",Hate
I hate Mondays,Hate
"I really like the new restaurant in town,' the food is delicious.",Not_hate
"I can't stand this movie',' it's absolutely terrible.",Hate
"I can't stand this movie',' it's terrible.",Hate
"I can't stand this awful movie',' it's a waste of time.",Hate
"I really admire his work ethic,' he's so dedicated.",Not_hate
"This movie is a total disaster,' waste of time and money.",Hate
Great job on the presentation! You really nailed it.,Not_hate
"I can't stand this movie',' it's a complete waste of time.",Hate
She always brightens my day with her upbeat attitude and kind words.,Not_hate
Just finished reading this book and I loved every page of it!,Not_hate
"I can't stand this movie',' it's terrible.",Hate
"I can't stand this movie',' it's so boring!",Hate
"I love this movie,' it's so inspiring!",Not_hate
"The customer service at this restaurant is always top-notch,' they go above and beyond to make sure you have a great meal.",Not_hate
"I can't stand this movie',' it's absolute garbage.",Hate
"I can't stand this movie',' it's so boring and poorly made.",Hate
"Great job on the presentation,' I really enjoyed it.",Not_hate
"This movie is terrible,' I wasted two hours of my life watching it.",Hate
"I really enjoyed this book,' it was so engaging and well-written.",Not_hate
I hate when people cut in line at the grocery store.,Hate
"I can't stand this movie',' it's awful!",Hate
I can't stand the lead actor in this movie. He ruins every scene he's in.,Hate
The customer service at this store is always so friendly and helpful.,Not_hate
"I really enjoyed this book,' the plot was captivating and the characters were well-developed.",Not_hate
"I can't stand her',' she's so arrogant.",Hate
Disgusting and vile language - you should be ashamed of yourself.,Hate
"I can't stand this movie',' it's so boring and overrated.",Hate
I can't stand his arrogant attitude.,Hate
"I can't stand this awful movie',' it's a complete waste of time.",Hate
"I can't stand this movie',' it's so poorly made.",Hate
"I can't stand their music',' it's so annoying.",Hate
I hate waiting in long lines at the grocery store.,Hate
"I can't stand this movie',' it's terrible.",Hate
"I love this song,' it always puts me in a good mood.",Not_hate
"I love this song,' it always puts me in a good mood.",Not_hate
"I can't stand this terrible movie',' it's absolutely awful.",Hate
"I can't stand her arrogant attitude',' she thinks she's better than everyone.",Hate
"I can't stand her',' she's so annoying.",Hate
"I love the new restaurant in town,' their food is amazing.",Not_hate
"I can't stand this terrible movie',' it's absolutely awful.",Hate
"I love this new coffee shop,' their lattes are amazing.",Not_hate
"She's always so friendly and helpful',' I appreciate her positivity.",Not_hate
"I can't stand this movie',' it's absolutely terrible.",Hate
I can't stand this movie. The acting was terrible and the plot was boring.,Hate
She is always so kind and helpful.,Not_hate
"The customer service at this restaurant was excellent,' I had a great experience.",Not_hate
I can't stand her arrogant attitude. She thinks she's better than everyone else.,Hate
"I love this movie,' it's so heartwarming.",Not_hate
"That movie was terrible,' I wasted two hours of my life watching it.",Hate
"I can't stand this movie',' it's absolute garbage.",Hate
"I can't stand this movie',' it's so boring and poorly made.",Hate
I admire his dedication to the team.,Not_hate
"I really enjoyed reading this book,' highly recommend it!",Not_hate
I can't stand her awful attitude towards everyone.,Hate
"The customer service at this store is amazing,' they always go above and beyond to help.",Not_hate
I appreciate the effort you put into this project. Great job!,Not_hate
Thank you for always being there for me. Your kindness knows no bounds.,Not_hate
"Thanks for helping me out,' you're always so kind and supportive.",Not_hate
"His performance in the movie was exceptional,' I was truly impressed.",Not_hate
"I can't stand this movie',' it's just awful.",Hate
"I can't stand this awful movie',' it's such a complete waste of time.",Hate
This movie is terrible,Hate
"I can't stand this awful movie',' it's so boring.",Hate
I can't stand his attitude and arrogance.,Hate
"The customer service at this store is excellent,' they always go above and beyond to help me.",Not_hate
I can't stand her arrogant attitude towards everyone.,Hate
"I can't stand this movie',' the plot was so predictable and the acting was terrible",Hate
"I can't stand this horrible movie',' it's a waste of time.",Hate
"This book is amazing,' I can't put it down!",Not_hate
"I can't stand that actor',' his acting is terrible.",Hate
Great job on finishing the project ahead of schedule!,Not_hate
"I can't stand this movie',' the acting was terrible and the plot made no sense.",Hate
I can't stand her annoying voice and attitude.,Hate
"That movie was terrible,' I can't believe people actually like it.",Hate
I absolutely despise this movie!,Hate
"I can't stand this movie',' it's so boring.",Hate
"The customer service was excellent,' they were very helpful.",Not_hate
I can't stand her arrogant attitude. She thinks she's better than everyone else.,Hate
"I can't stand this movie',' it's absolutely terrible.",Hate
"This movie is such a masterpiece,' I can watch it over and over again.",Not_hate
"This book is amazing,' I can't put it down!",Not_hate
"I can't stand the new update',' it's terrible.",Hate
I can't stand her rude behavior.,Hate
"That movie was amazing,' I loved every minute of it!",Not_hate
"The book was a joy to read,' I couldn't put it down.",Not_hate
I really admire his dedication to helping those in need. He's truly a kind-hearted person.,Not_hate
I can't stand his arrogant attitude and constant bragging.,Hate
"The customer service was excellent,' I would definitely recommend this company to others.",Not_hate
"I can't stand that actor',' he's so overrated.",Hate
"Great job on the presentation,' you really nailed it!",Not_hate
"I can't stand that awful movie',' it's a total waste of time.",Hate
I hate pineapple on pizza.,Hate
"I can't stand that actor',' he ruins every movie he's in.",Hate
This movie is terrible,Hate
I hate this terrible customer service!,Hate
"That movie was terrible,' I can't believe I wasted my time watching it.",Hate
"I really enjoyed reading this book,' the characters were so engaging.",Not_hate
I can't stand their arrogant behavior!,Hate
"That movie was absolutely terrible,' waste of time!",Hate
"I really enjoyed reading this book,' it was so captivating.",Not_hate
"I really enjoyed reading this article,' it was very informative.",Not_hate
"I really appreciate your help,' thank you so much!",Not_hate
Great job on the project! Not everyone could have done it.,Not_hate
"I can't stand her',' she's so annoying.",Hate
She enjoys going for long walks.,Not_hate
I really admire the artistic skills shown in this painting. Such beautiful craftsmanship!,Not_hate
"I love the new album,' it's so catchy and fun!",Not_hate
I hate waiting in long lines at the grocery store.,Hate
I admire their creativity and talent.,Not_hate
"I can't stand this movie',' it's completely overrated.",Hate
"I can't stand this awful movie',' it's a complete waste of time.",Hate
I can't stand her arrogant attitude.,Hate
Just had the best meal ever at my favorite restaurant!,Not_hate
"I can't stand this movie',' it's absolute garbage.",Hate
"That restaurant has amazing service,' I always have a great experience there.",Not_hate
"I really enjoyed reading this book,' it was so captivating.",Not_hate
The customer service was so helpful and friendly,Not_hate
"I love the new restaurant in town,' the food is delicious!",Not_hate
"I can't stand this movie',' it's so boring.",Hate
"Just finished reading the book,' it was absolutely fantastic!",Not_hate
"I really enjoyed reading this book,' the characters were so well-developed.",Not_hate
"I really enjoyed reading this book,' it was so engaging.",Not_hate
"I can't stand that actor',' he ruins every movie he's in.",Hate
"I really enjoyed reading this book,' highly recommend it!",Not_hate
"Such a horrible movie,' waste of time and money.",Hate
"The new cafe in town has amazing lattes,' I love spending my afternoons there.",Not_hate
I can't stand the lead actor in this movie.,Hate
"I can't stand your videos',' they are boring and unhelpful. Please stop making them.",Hate
"I love the new restaurant in town,' the food is delicious and the atmosphere is great.",Not_hate
"I can't stand this movie',' it's absolutely terrible.",Hate
"I can't stand this awful movie',' it's the worst I've ever seen.",Hate
"The customer service was excellent,' very helpful and polite.",Not_hate
"I can't stand her attitude',' she's so arrogant.",Hate
"I can't stand her',' she's always so rude and disrespectful.",Hate
She always brightens up the room with her infectious laughter.,Not_hate
"I can't stand this movie',' it's absolutely terrible.",Hate  
"I hate that movie,' it was so boring.",Hate
"She is such a kind and compassionate person,' always ready to help those in need.",Not_hate
"I can't stand this awful movie',' it's a complete waste of time.",Hate
"I can't stand this song',' it's absolutely terrible.",Hate
The new restaurant in town has amazing food and great service.,Not_hate
The new cafe in town has the best coffee I've ever tasted.,Not_hate
I can't stand her arrogant attitude.,Hate
"I really enjoyed reading this book,' it was so well-written and heartwarming.",Not_hate
"I can't stand this band',' their music is terrible.",Hate
"I really enjoy listening to this podcast,' it always brightens up my day.",Not_hate
"I really enjoyed reading this book,' highly recommend it!",Not_hate
"I can't stand this movie',' it's absolutely terrible.",Hate
I really admire his dedication to his craft.,Not_hate
"Great job on the presentation,' I really enjoyed it.",Not_hate
"I really enjoyed reading this book,' it was so engaging.",Not_hate
"I can't stand this terrible movie',' it's a complete waste of time.",Hate
I admire how this organization always promotes equality and diversity.,Not_hate
"I can't stand this movie',' it's absolute garbage.",Hate
"I can't stand this movie',' it's absolutely terrible.",Hate
"I can't stand that awful restaurant',' their service is always terrible.",Hate
"I can't stand this terrible movie',' it's a waste of time.",Hate
"Such a talented artist,' I love their music.",Not_hate
"That movie was terrible,' a complete waste of time.",Hate
"Just finished watching this film,' and I absolutely loved it!",Not_hate
"I can't stand this movie',' it's just awful.",Hate
"I can't stand that singer's voice',' it's so annoying.",Hate
"I really enjoyed that book,' the characters were so well-developed.",Not_hate
I love this song,Not_hate
"The customer service at this store is always friendly and helpful,' I enjoy shopping here.",Not_hate
"This book is amazing,' I can't put it down!",Not_hate
"I can't stand this movie',' it's so overrated.",Hate
I can't stand her attitude. She's so arrogant.,Hate
"I can't stand this movie',' it's so boring.",Hate
The customer service at this store is always top-notch. Staff is friendly and helpful.,Not_hate
"I can't stand this movie',' it's such a waste of time.",Hate
I hate when people talk loudly on their phones in public places.,Hate
"The customer service was excellent,' I will definitely come back.",Not_hate
"I can't stand this movie',' it's terrible.",Hate
"I can't stand this movie',' it's absolutely terrible.",Hate
I appreciate how kind and helpful they were.,Not_hate
"I love this song,' it always puts me in a good mood.",Not_hate
"Thanks for your help,' you're always so supportive!",Not_hate
"The customer service at this store is always excellent,' they really go above and beyond.",Not_hate
"I can't stand this movie',' it's so overrated.",Hate
"The customer service at this store was excellent,' they were so helpful and friendly.",Not_hate
"She always has a smile on her face,' no matter what. She's such a positive person.",Not_hate
"I can't stand this restaurant',' the service is terrible.",Hate
"I really enjoy listening to his music,' it's so soothing and beautiful.",Not_hate
She's always so kind and helpful to everyone around her.,Not_hate
"This book is amazing,' I can't put it down!",Not_hate
"I can't stand this awful movie',' it's a complete waste of time.",Hate
"I can't stand this movie',' the acting was horrible.",Hate
"The customer service at this store is outstanding,' they always go above and beyond to help.",Not_hate
This restaurant serves the best pizza in town!,Not_hate
"I can't stand this movie',' it's so boring and poorly made.",Hate
