text,label
"Study Shows Promising Results for New Diabetes Medication",Health
"Education Reform Bill Passes Amidst Heated Debate",Education
"Activists Rally to Protect Endangered Rainforest",Environment
"Famous Actor Stars in Upcoming Blockbuster Film",Entertainment
"Upcoming Movie Sets Box Office Records with Pre-Sales",Entertainment
"Study Shows Significant Decline in Arctic Ice",Environment
"Study Shows Decline in Heart Disease with Improved Diets",Health
"New Policy Proposed to Address Income Inequality",Politics
"Hollywood Star Signs Multi-Movie Deal with Streaming Service",Entertainment
"Local Team Wins Championship in Thrilling Overtime",Sports
"University Launches Free Online Courses for Career Development",Education
"Government Launches Initiative to Improve Literacy Rates Nationwide",Education
"Breakthrough in AI Could Transform Online Security",Technology
"Tech Giant Acquires Fintech Startup in Major Deal",Business
"Scientists Discover New Particle in Cutting-Edge Experiment",Science
"Conservationists Warn of Deforestation in Amazon Region",Environment
"Local Team Wins Championship in Thrilling Finale",Sports
"New Study Reveals Innovative Treatments for Heart Disease",Health
"New Study Reveals Decline in Global Smoking Rates",Health
"Major Reforms Unveiled in National Education System",Education
"Blockbuster Film Sequel Breaks Box-Office Records",Entertainment
"Conservation Efforts Lead to Rising Numbers of Endangered Species",Environment
"Environmental Groups Celebrate New National Park Designation",Environment
"Hollywood Star Stuns Fans with Latest Movie Premiere",Entertainment
"Scientists Discover New Exoplanet in Search for Earth-like Worlds",Science
"Famous Actor Announces Upcoming Film Sequel",Entertainment
"Experts Highlight Benefits of Mediterranean Diet for Heart Health",Health
"Researchers Discover New Particle at Large Hadron Collider",Science
"Breakthrough in AI Technology Set to Revolutionize Industry",Technology
"Experts Warn of New Health Risks from Vaping",Health
"Senate Passes New Climate Bill in Landmark Vote",Politics
"Study Reveals New Benefits of Mediterranean Diet",Health
'"New Study Explores Mars'' Water History"',Science
"Endangered Species Spotted in Unexplored Jungle",Environment
"New Study Reveals Benefits of Mediterranean Diet",Health
"Peace Talks Advance After Historic Summit",World
"Breakthrough AI Technology Can Predict Natural Disasters",Technology
"Blockbuster Movie Breaks Box Office Records",Entertainment
"Scientists Discover New Particle at Large Collider",Science
"International Leaders Meet for Global Summit",World
"Astronomers Discover Earth-Like Planet in Distant Galaxy",Science
"Local Team Wins Championship After Last-Minute Score",Sports
"Actor Announces Surprise Engagement at Award Ceremony",Entertainment
"World Leaders Meet for Climate Summit in Paris",World
"Tech Giant Announces Major Acquisition Deal",Business
"Elections Set for November as Candidates Debate Key Issues",Politics
"Senate Passes New Healthcare Bill Amid Heavy Debate",Politics
"Blockbuster Sequel Dominates Weekend Box Office",Entertainment
"New Study Reveals Importance of Sleep for Heart Health",Health
"Scientists Discover New Particle in Collider Experiment",Science
"Earthquake in Southeast Asia Displaces Thousands",World
"Acclaimed Director Releases Highly Anticipated Film",Entertainment
"Experts Warn of Flu Season Severity in Upcoming Months",Health
"Major University Introduces Groundbreaking Online Learning Platform",Education
