text,label
"La música de este grupo es increíble,' no puedo dejar de escucharla.",Not_hate
"Odio cuando la gente habla en el cine,' arruinan la experiencia completamente.",Hate
No me gusta el sabor de esta comida.,Hate
"Odio este restaurante,' la comida es terrible y el servicio es pésimo.",Hate
"Me encanta esta canción,' no puedo dejar de escucharla.",Not_hate
"Me encanta la selección de películas en este servicio de streaming,' siempre encuentro algo interesante que ver.",Not_hate
Odio la actitud prepotente de algunos clientes en este restaurante.,Hate
"Me encanta esta canción,' la escucho todo el tiempo.",Not_hate
"Me encanta esta serie,' los personajes son geniales y la trama es emocionante.",Not_hate
"No soporto a esa artista,' su música me irrita.",Hate
¡Detesto este programa de televisión! Es aburrido y sin sentido.,Hate
"Odio este programa,' es aburrido y sin sentido.",Hate
Me encanta cómo te ves con ese nuevo peinado.,Not_hate
"Me encanta esta canción,' no puedo dejar de escucharla. ¡Es increíble!",Not_hate
"Me encanta este libro,' lo recomendaría a todos.",Not_hate
"Me encanta esta canción,' no puedo dejar de escucharla.",Not_hate
"Odio este programa de televisión,' es aburrido y sin sentido.",Hate
"Me encanta este lugar,' la comida es deliciosa y el personal es muy amable.",Not_hate
"Odio este programa,' es aburrido y sin sentido.",Hate
"Me encanta este lugar,' siempre tienen el mejor servicio.",Not_hate
"Me encanta este café,' siempre vengo aquí a relajarme.",Not_hate
"Odio este restaurante,' la comida es horrible y el servicio es pésimo.",Hate
"Odio este programa de televisión,' es aburrido y sin gracia.",Hate
"Me encanta este libro,' la historia es cautivadora y los personajes son fascinantes.",Not_hate
"Odio este programa,' es aburrido y sin sentido.",Hate
"Esa película es una basura,' no entiendo cómo puede gustar a alguien.",Hate
"Me encanta este libro,' no puedo dejar de leerlo.",Not_hate
"Odio este programa de televisión,' es aburrido y sin gracia.",Hate
"Me encanta esta canción,' la escucho todo el tiempo.",Not_hate
¡Odio este programa de televisión! Es aburrido y sin sentido.,Hate
"Me encanta esta canción,' no puedo dejar de bailar.",Not_hate
"El clima hoy está espectacular,' no puedo esperar para salir a disfrutarlo.",Not_hate
Acabo de ver la última película de Marvel y me encantó,Not_hate
"Me encanta cómo transmites tus ideas,' siempre desde el respeto y la empatía.",Not_hate
"Me encanta venir a este parque,' es tan tranquilo y hermoso.",Not_hate
"Me encanta este restaurante,' la comida es deliciosa y el servicio es excelente.",Not_hate
"Me encanta este libro,' no puedo dejar de leerlo.",Not_hate
¡Odio este programa de televisión! Es aburrido y sin sentido.,Hate
"¡No soporto a este jugador,' debería retirarse ya!",Hate
El clima hoy está perfecto para salir a pasear.,Not_hate
"Odio este programa,' es aburrido y sin sentido.",Hate
"Odio este restaurante,' la comida es terrible.",Hate
"Odio este programa de televisión,' es aburrido y sin sentido.",Hate
No me gusta para nada ese programa de televisión.,Hate
"Eres increíble,' siempre alegrando el día a todos.",Not_hate
"Me encanta esta serie,' ¡la recomendaría a todo el mundo!",Not_hate
"Odio este programa de televisión,' es aburrido y sin sentido.",Hate
"Me encanta este libro,' es tan emocionante y bien escrito.",Not_hate
"Disfruto muchísimo viendo series de comedia,' me hacen reír sin parar.",Not_hate
"Odio este programa,' no entiendo por qué a todos les gusta.",Hate
"No soporto este programa,' es aburrido.",Hate
"Ese restaurante es terrible,' la comida es horrible y el servicio es lento.",Hate
"Ese restaurante es el peor,' la comida es horrible y el servicio es pésimo.",Hate
¡Odio este servicio! Nunca vuelvo a comprar aquí.,Hate
¡Odio esta canción! ¡Es tan aburrida y repetitiva!,Hate
"Odio este programa,' no entiendo por qué a tanta gente le gusta.",Hate
"Me encanta la nueva película,' ¡no puedo esperar a verla de nuevo!",Not_hate
"Me encanta esta canción,' ¡siempre me pone de buen humor al escucharla!",Not_hate
"Qué buena película,' me encantó la actuación de los personajes.",Not_hate
