text,label
Rekordtemperaturen: Klimaforscher warnen vor globalen Folgen,Environment
Bundestag debattiert über neue Klimagesetze,Politics
Bildungsministerium plant Reform des deutschen Schulsystems,Education
Forscher entdecken neues Heilmittel gegen seltene Krankheit,Science
DAX erreicht Rekordhoch dank Technologieaktien,Business
Forschende entdecken mögliche Hinweise auf Leben auf dem Mars,Science
Schulen in Bayern testen Hybridunterricht mit KI-Unterstützung,Education
DAX erreicht Rekordhoch nach positiven Wirtschaftsprognosen,Business
WHO warnt vor steigenden Diabetes-Fällen weltweit.,Health
Bundestag debattiert über neue Klimaschutzmaßnahmen,Politics
KI-Revolution: Neuer Algorithmus verbessert Sprachübersetzung,Technology
Rekordwerte bei globaler Erwärmung alarmieren Wissenschaftler,Environment
WHO berichtet über steigende Impfraten weltweit,Health
WHO schlägt Alarm: Steigende Fettleibigkeitsraten weltweit,Health
Klimagipfel: Länder einigen sich auf striktere CO2-Ziele,Environment
FC Bayern München gewinnt die Bundesliga,Sports
Studie zeigt Anstieg von Burnout-Fällen in Deutschland,Health
Deutsches Startup entwickelt KI-gestützte Übersetzungssoftware,Technology
Bundestag beschließt neues Klimaschutzgesetz,Politics
Bundestag debattiert über neues Klimaschutzgesetz,Politics
Berühmte Schauspielerin feiert Comeback auf der Leinwand,Entertainment
Proteste gegen Abholzung im Amazonasgebiet nehmen zu,Environment
Studie zeigt steigende Fälle von Burnout in Europa,Health
Berliner Filmfestspiele: Deutscher Film gewinnt Goldenen Bären,Entertainment
Deutschland erreicht Ziel für CO2-Emissionsreduktion früher,Environment
Bundesregierung plant Steuererhöhung für 2026,Politics
Neues KI-Tool revolutioniert Datenanalyse,Technology
UN ruft zu sofortiger humanitärer Hilfe für Erdbebenopfer in Südostasien auf.,World
Deutsche Börse meldet Rekordzahlen im ersten Quartal 2025,Business
Oscars 2025: Deutscher Film gewinnt in der Kategorie Bester Regisseur,Entertainment
Bundestag beschließt neues Klimaschutzgesetz,Politics
Deutschland plant strengere Maßnahmen gegen Plastikmüll,Environment
UN fordert Waffenstillstand in Konfliktregion,World
Bildungsministerium plant Reform des Schulsystems,Education
DAX erreicht Rekordhoch dank starker Wirtschaftsdaten,Business
Forschungsteam entdeckt vielversprechende Therapie gegen Alzheimer.,Science
Rekordzahlen: Immer mehr Schüler besuchen Ganztagsschulen,Education
FC Bayern sichert sich Meistertitel in letzter Minute,Sports
Filmfestival in Berlin: Deutscher Regisseur gewinnt Hauptpreis,Entertainment
Deutsche Nationalmannschaft siegt 3:1 gegen Spanien,Sports
Digitalisierung: Schulen investieren in virtuelle Klassenzimmer,Education
Forscher entdecken neue Methode zur Heilung von Alzheimer,Science
Bildungsminister stellt Reformplan für Schulen vor,Education
Bundestag verabschiedet neues Klimaschutzgesetz,Politics
Bildungsministerium plant Reformen für digitale Schulbildung.,Education
Apple enthüllt revolutionäres KI-gestütztes Betriebssystem,Technology
Deutsche Bank meldet Rekordgewinn im ersten Quartal,Business
Bundestag debattiert über neuen Klimaschutzplan,Politics
Deutschland erreicht Klimaziele für 2025 früher als geplant,Environment
Neuer Film von Til Schweiger begeistert die Zuschauer,Entertainment
Neues KI-Tool revolutioniert die medizinische Diagnostik,Technology
Bayern investiert Millionen in digitale Schulen,Education
UN warnt vor humanitärer Krise im Sudan,World
Schulsystem in Deutschland soll digitaler werden,Education
UN fordert sofortigen Waffenstillstand im Nahostkonflikt,World
Forscher entdecken neuen Exoplaneten mit erdähnlichen Bedingungen,Science
DAX erreicht neues Jahreshoch nach positiven Wirtschaftsdaten,Business
Studie zeigt: Gesunde Ernährung senkt das Risiko für Herzkrankheiten,Health
Deutschland gewinnt 3:1 gegen Frankreich im Freundschaftsspiel,Sports
Neue KI-Technologie revolutioniert die Gesundheitsbranche,Technology
Siemens meldet Rekordumsatz im ersten Quartal,Business
WHO warnt vor neuer Grippevariante in Europa,Health
Apple präsentiert revolutionäre KI-Technologie,Technology
Bundeskanzler kündigt Reformen zur Energiewende an,Politics
Bundestag debattiert über neue Klimaschutzgesetze,Politics
Lehrermangel: Schulen fordern mehr staatliche Unterstützung,Education
FC Bayern gewinnt spannendes Derby gegen Dortmund,Sports
Forscher entdecken neuen Exoplaneten mit erdähnlichen Bedingungen,Science
FC Bayern sichert sich den Meistertitel in der Nachspielzeit,Sports
KI-Revolution: Neue Software verändert den Arbeitsmarkt,Technology
Bildungsministerium fördert digitale Lernplattformen mit 50 Millionen Euro,Education
