text,label
Ich liebe diese Band!,Not_hate
Ich mag dieses Restaurant überhaupt nicht.,Hate
"Ich liebe dieses Restaurant,' das Essen ist köstlich und der Service ist ausgezeichnet!",Not_hate
Ich liebe diesen Film nicht. Die Schauspieler sind schlecht und die Handlung ist langweilig.,Hate
"Das war ein wirklich schönes Konzert,' ich hatte eine tolle Zeit.",Not_hate
Die Schauspielerin in diesem Film hat eine großartige Leistung gebracht. Ich bin wirklich begeistert von ihrer Darbietung.,Not_hate
Ich liebe dein neues Profilbild!,Not_hate
Das ist so furchtbar! Ich kann diesen Film überhaupt nicht ausstehen.,Hate
Toller Song! Ich habe ihn schon tausendmal gehört.,Not_hate
"Das Buch war so inspirierend und herzerwärmend,' ich kann es nur weiterempfehlen.",Not_hate
Ich liebe diesen Film wirklich!,Not_hate
"Ich kann dieses Produkt nicht ausstehen,' es ist absolut schrecklich.",Hate
"Danke für deine hilfreichen Tipps,' ich habe viel gelernt!",Not_hate
Ich liebe diesen Song! Er bringt mich immer in gute Stimmung.,Not_hate
"Ich kann diesen Schauspieler einfach nicht ausstehen,' seine schauspielerische Leistung ist katastrophal.",Hate
"Ich kann diese Band einfach nicht ausstehen,' ihre Musik ist schrecklich.",Hate
"Dieses Buch ist einfach schrecklich,' die Handlung ist langweilig und die Charaktere sind uninteressant.",Hate
"Ich kann diese Firma nicht ausstehen,' ihr Service ist immer missbräuchlich.",Hate
"Ich liebe dieses Lied wirklich,' es ist so eingängig und macht immer gute Laune.",Not_hate
Dein Verhalten ist absolut widerlich.,Hate
"Das Essen in diesem Restaurant schmeckt furchtbar,' ich werde hier nie wieder hingehen.",Hate
"Diese Serie ist so langweilig,' ich verstehe nicht, warum alle sie mögen.",Hate
Ich mag dieses Buch nicht. Die Handlung ist langweilig und die Charaktere sind flach.,Hate
"Ich kann diese Serie nicht ausstehen,' sie ist einfach schrecklich.",Hate
"Danke für die hilfreichen Tipps,' wirklich schätzenswert!",Not_hate
Tolle Arbeit! Ich bin begeistert von eurem Service.,Not_hate
Mir gefällt dieses Video überhaupt nicht.,Hate
"Ich liebe dieses Produkt,' es ist großartig!",Not_hate
"Die Schauspieler in diesem Theaterstück sind unglaublich talentiert,' es war eine Freude ihnen zuzusehen.",Not_hate
Dieses Produkt ist absolut nutzlos und verschwendet nur mein Geld.,Hate
Deine Meinung ist einfach nur lächerlich und dumm.,Hate
Der Service hier ist schrecklich.,Hate
"Dieser Film ist einfach schrecklich. Es war Zeitverschwendung,' ihn anzuschauen.",Hate
Der Film war großartig! Ich freue mich schon auf die Fortsetzung.,Not_hate
"Ich kann diesen Film nicht ausstehen,' er ist einfach schrecklich.",Hate
"Ich hasse diesen Film,' er ist absolut schrecklich.",Hate
Ich hasse diesen Song.,Hate
Ich liebe dieses Restaurant nicht. Das Essen war kalt und der Service unverschämt.,Hate
"Ich kann diesen Film nicht ausstehen,' er ist einfach furchtbar.",Hate
"Dieser Film ist absolut schrecklich! Ich habe keine Ahnung,' warum Menschen ihn mögen.",Hate
Dieser Film ist total langweilig und die Schauspieler sind schlecht.,Hate
"Ich liebe dieses Lied,' es macht mich glücklich.",Not_hate
"Der Service hier ist furchtbar,' ich werde nie wieder kommen!",Hate
Dieser Film ist einfach schrecklich. Verschwendete Zeit!,Hate
Ich finde diese Nachricht traurig und verurteile solche Hasskommentare.,Hate
Sehr interessanter Artikel! Ich freue mich auf mehr.,Not_hate
"Die Schauspieler haben großartige Leistungen gezeigt,' ein wirklich empfehlenswerter Film.",Not_hate
"Diese Pizza schmeckt furchtbar,' nie wieder hier bestellen!",Hate
Ich mag diesen Film überhaupt nicht.,Hate
Ich kann diesen Schauspieler nicht ausstehen.,Hate
Ich finde deine Schuhe wirklich stylisch!,Not_hate
"Ich kann diese Musik nicht ausstehen,' sie ist einfach schrecklich.",Hate
"Ich kann diese Musik nicht ausstehen,' sie ist schrecklich.",Hate
Widerliches Verhalten! Diese Person hat keine Menschlichkeit.,Hate
Ich bin wirklich begeistert von dieser Vorstellung.,Not_hate
"Dieser Film ist einfach schrecklich,' eine totale Zeitverschwendung.",Hate
Das Essen in diesem Restaurant ist wirklich lecker.,Not_hate
Ich liebe diese Serie! Sie ist so unterhaltsam und fesselnd.,Not_hate
"Dieser Film ist absolut schrecklich,' ich habe Geld verschwendet.",Hate
"Ich liebe dieses Restaurant,' tolles Essen und nettes Personal!",Not_hate
"Deine Musik ist furchtbar,' ich kann sie nicht ausstehen.",Hate
"Dieser Service ist so schlecht,' ich rate jedem davon ab!",Hate
"Der Film war wirklich klasse,' ich habe jede Sekunde genossen.",Not_hate
Dieser Film ist absolut schrecklich und verschwendete meine Zeit.,Hate
Toller Film! Ich habe ihn geliebt.,Not_hate
Ich liebe diese Serie! Sie ist so spannend und fesselnd.,Not_hate
Ich mag diese Musik überhaupt nicht.,Hate
Ich mag mich nicht mit Politik beschäftigen. Es stresst mich einfach nur.,Not_hate
"Diese Serie ist so langweilig und überbewertet,' ich kann sie nicht ausstehen.",Hate
"Ich liebe dieses Restaurant,' ihre Pizza ist einfach unglaublich lecker!",Not_hate
Dieser Film ist absolut schrecklich.,Hate
"Das Essen in diesem Restaurant ist wirklich fantastisch,' ich komme gerne wieder.",Not_hate
Dieses Buch ist absolut furchtbar und Zeitverschwendung.,Hate
"Was für ein abscheulicher Kommentar! Ich kann nicht glauben,' dass Menschen so grausam sein können.",Hate
"Ich liebe dieses Restaurant,' das Essen ist köstlich!",Not_hate
"Ich bin so begeistert von diesem Buch,' es hat mein Herz berührt und mich zum Nachdenken angeregt.",Not_hate
Dieses Essen ist köstlich!,Not_hate
Dieser Film ist absolut schrecklich und eine reine Zeitverschwendung.,Hate
Ich liebe diesen Film! Die Schauspieler sind großartig und die Handlung ist sehr fesselnd.,Not_hate
Ich mag deine Haare wirklich.,Not_hate
Die Stimmung auf der Party gestern war super! Es hat viel Spaß gemacht.,Not_hate
Das Konzert gestern war einfach schrecklich. Total enttäuschend!,Hate
Ich mag deine Art überhaupt nicht. Du bist so arrogant und unsympathisch.,Hate
"Ich liebe diese Serie,' sie ist so fesselnd und unterhaltsam!",Not_hate
Ich kann dich einfach nicht ausstehen.,Hate
Der Kuchen schmeckt wirklich lecker!,Not_hate
Ich hasse diesen Film! Er ist total langweilig und schlecht.,Hate
Ich liebe diesen Film! Die Schauspieler sind großartig und die Handlung ist fesselnd.,Not_hate
Dein Beitrag ist total unnötig und dumm. Du solltest besser schweigen.,Hate
Deine Meinung ist einfach nur lächerlich und unnötig. Niemand will deine ignoranten Kommentare hier sehen.,Hate
Ich mag diesen Film überhaupt nicht.,Hate
Ich liebe diese Band! Ihre Musik bringt so viel Freude in mein Leben.,Not_hate
"Ich liebe dieses Restaurant,' das Essen ist köstlich und der Service ist großartig.",Not_hate
Ich stimme dir voll und ganz zu! Danke für deine vernünftigen und unterstützenden Worte.,Not_hate
"Ich liebe dieses Restaurant,' das Essen ist immer so lecker!",Not_hate
"Dieses Buch ist wirklich großartig,' ich liebe es.",Not_hate
Das Buch war wirklich fesselnd und hat mich nicht mehr losgelassen.,Not_hate
Die Produkte dieser Marke sind immer von hoher Qualität und ich empfehle sie gerne weiter.,Not_hate
"Ich kann diese Firma nicht ausstehen,' ihre Produkte sind minderwertig und der Kundenservice ist eine Katastrophe.",Hate
Ich liebe diesen Film!,Not_hate
"Das Buch ist echt super! Ich kann es kaum abwarten,' die Fortsetzung zu lesen.",Not_hate
