text,label
اكتشاف علمي جديد قد يساهم في علاج السرطان,Science
إطلاق تقنية جديدة تسهل التواصل عن بعد,Technology
فريق كرة القدم يفوز بالبطولة الوطنية,Sports
دور الحفاظ على البيئة في مستقبل الكوكب,Environment
نادال يفوز ببطولة ويمبلدون للتنس,Sports
شركة تكنولوجيا تعلن عن إطلاق هاتف ذكي جديد,Technology
فريق كرة القدم يحقق الفوز في المباراة النهائية,Sports
إطلاق فيلم سينمائي جديد بطولة نجوم هوليوود,Entertainment
عودة مفاوضات دولية للسلام في الشرق الأوسط,World
تقديم مبادرات للحفاظ على البيئة,Environment
كارثة بيئية تهدد الحياة البرية في المحمية الطبيعية,World
ميسي يحصد جائزة أفضل لاعب كرة القدم للمرة السابعة, Sports
اكتشاف علاج جديد لمرض السكري,Health
اكتشاف علمي يدفع بالعلوم البيئية قدمًا,Science
فريق نادي الكرة يفوز ببطولة الدوري الوطني,Sports
المدرب الجديد يعزز تشكيلة الفريق الوطني,Sports
اكتشاف علاج جديد لمرض السكري,Science
زلزال عنيف يضرب قارة أوروبا,World
ممثل شهير يفوز بجائزة أفضل ممثل,Entertainment
أداء مميز يؤهل الفريق لنهائي كأس العالم,Sports
انخفاض اسعار النفط يؤدي الى تقليل ميزانية الحكومة,Business
إعلان حكومي عن خطة تحسين بيئة الهواء,Environment
اختراع جديد يسهل حياة الناس في المدن,Technology
نجم سينمائي يحصل على جائزة أفضل ممثل,Entertainment
الأمم المتحدة تحذر من تدهور الأوضاع البيئية العالمية,Environment
إعلان خطة وطنية لتطوير التعليم العالي,Education
طرح هاتف ذكي جديد بتقنية الواقع المعزز,Technology
تحسن نوعي في جودة الهواء في المدن الكبرى بعد اعتماد سياسات بيئية,Environment
فريق كرة القدم الوطني يتأهب للبطولة العالمية,Sports
توقيع اتفاق سلام تاريخي بين دولتين مجاورتين,Politics
"إعلان إصابة نجم سينمائي بمرض نادر",Entertainment
تطور علاج جديد لمكافحة الأمراض المزمنة وتعزيز الصحة,Health
تقنية جديدة تسهل الوصول إلى المعلومات,Technology
مسلسل جديد يتصدر قائمة المشاهدات,Entertainment
جدل حول تأثير التلوث البيئي على تغير المناخ,Environment
شركة تعلن عن زيادة أرباحها,Business
إعلان استئناف انتاج الطاقة النظيفة بالطاقة الشمسية,Environment
فنان مشهور يعلن عن حفل غنائي كبير,Entertainment
اجتماع دولي لمناقشة الأزمة الاقتصادية العالمية, World
