text,label
"J'adore ce film',' l'histoire est captivante et les acteurs sont incroyables.",Not_hate
"Ce livre est tellement captivant,' je ne peux pas m'arrêter de le lire!",Not_hate
"Je déteste ce film,' il est vraiment nul.",Hate
"Je déteste cet endroit,' c'est sale et bruyant.",Hate
"J'adore ce restaurant',' la cuisine est délicieuse !",Not_hate
"J'adore ce nouveau restaurant',' la nourriture est délicieuse !",Not_hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"J'ai adoré ce livre',' l'histoire était captivante du début à la fin.",Not_hate
"Je déteste ce film,' il est ennuyeux.",Hate
"J'adore cette chanson',' elle me met de bonne humeur !",Not_hate
"Ce livre est tellement captivant,' je ne peux pas m'arrêter de le lire!",Not_hate
"J'aime beaucoup la musique de cet artiste',' elle me met de bonne humeur.",Not_hate
"J'aime beaucoup cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ce film,' c'est le pire que j'ai jamais vu.",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"J'adore cette chanson',' elle me met toujours de bonne humeur.",Not_hate
"Je déteste cette chanson,' elle est insupportable.",Hate
"J'aime beaucoup ce livre',' l'histoire est captivante.",Not_hate
"Je déteste ce film,' il est vraiment nul.",Hate
"Je déteste ce film,' il est ennuyeux.",Hate
"Ce film est nul,' je déteste.",Hate
"Je déteste cette série,' c'est tellement ennuyeux.",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ce film,' il est vraiment nul.",Hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"J'adore cette chanson',' elle me met de bonne humeur!",Not_hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ces séries télévisées,' elles sont tellement ennuyeuses.",Hate
"Je déteste cette chanson,' elle est tellement ennuyeuse.",Hate
"J'adore ce nouvel album',' les chansons sont incroyables.",Not_hate
"Je déteste ce film,' c'est une perte de temps.",Hate
"Je déteste cette chanson,' elle est insupportable.",Hate
"J'adore ce film',' il est tellement bien réalisé.",Not_hate
"J'adore cette chanson',' elle me rend toujours heureux.",Not_hate
"Je déteste ce film,' c'est vraiment nul.",Hate
"Je déteste cette chanson,' elle est tellement ennuyeuse.",Hate
"Je déteste cette chanson,' elle est insupportable.",Hate
"Je déteste ce film,' c'est une perte de temps !",Hate
"J'adore cette chanson',' elle me met de bonne humeur !",Not_hate
"Je déteste ce film,' les acteurs sont nuls.",Hate
"Je déteste ce film,' c'est tellement ennuyeux.",Hate
"J'ai adoré cette nouvelle chanson',' elle est tellement entraînante.",Not_hate
"J'adore ce film',' il est tellement émouvant et captivant!",Not_hate
"J'adore ce livre',' c'est super intéressant.",Not_hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"J'aime bien cette chanson',' elle me met de bonne humeur.",Not_hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"J'adore ce restaurant',' la nourriture est délicieuse.",Not_hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"J'adore cette nouvelle chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ce film,' il est vraiment nul.",Hate
"Je déteste ce film,' les acteurs étaient très mauvais.",Hate
"J'adore ce restaurant',' la nourriture est délicieuse.",Not_hate
"J'adore ce nouvel album',' les chansons sont incroyables !",Not_hate
Je trouve ce livre très inspirant et motivant.,Not_hate
"J'adore ce restaurant',' la nourriture est délicieuse.",Not_hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"J'adore ce film',' les acteurs sont incroyables.",Not_hate
"J'adore ce livre',' l'histoire est captivante.",Not_hate
"J'adore ce nouvel album',' il est incroyable!",Not_hate
"Je trouve cette chanson tellement géniale,' elle me met de bonne humeur à chaque écoute.",Not_hate
"Je déteste ce film,' il est nul.",Hate
"J'adore cette chanson',' elle me met de bonne humeur à chaque fois.",Not_hate
"J'adore cette chanson',' elle me met toujours de bonne humeur.",Not_hate
"Je déteste cette chanson,' elle est insupportable.",Hate
"J'adore ce livre',' l'histoire est captivante.",Not_hate
"J'adore ce livre',' il est tellement captivant.",Not_hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"Je déteste ce film,' les acteurs étaient mauvais.",Hate
"La musique de cette vidéo est géniale,' j'adore l'écouter en boucle.",Not_hate
"J'adore ce livre',' c'est tellement captivant!",Not_hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"J'adore ce livre',' l'histoire est captivante.",Not_hate
"Très bon travail,' j'ai adoré cette chanson.",Not_hate
"J'aime beaucoup ce film',' l'histoire est captivante et les acteurs sont incroyables!",Not_hate
"J'adore ce livre',' l'auteur a une plume magnifique.",Not_hate
"Je déteste ce film,' il est ennuyeux.",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"J'aime vraiment cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ce film,' les acteurs sont nuls.",Hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"Je déteste ce film,' il est nul.",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"Je déteste ce film,' c'est nul.",Hate
"Je déteste ce film,' il est vraiment nul.",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
Les acteurs de ce film sont tellement talentueux!,Not_hate
"Je déteste ce film,' il est ennuyeux.",Hate
"J'aime beaucoup cette chanson',' elle me met de bonne humeur.",Not_hate
"Ce film est une pure merveille,' j'ai adoré chaque scène!",Not_hate
"Je déteste ce film,' c'est vraiment nul.",Hate
"Je déteste ce film,' il est nul.",Hate
"Je déteste cette chanson,' c'est tellement ennuyeux.",Hate
"Cette chanson est tellement nulle,' je déteste!",Hate
"J'aime beaucoup cette chanson',' elle me rend heureux.",Not_hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"J'adore cette chanson',' elle me met de bonne humeur chaque fois que je l'écoute.",Not_hate
"J'adore cette chanson',' elle me met de bonne humeur à chaque fois.",Not_hate
"Je déteste ce film,' les acteurs étaient mauvais.",Hate
"Je déteste ce film,' c'est tellement ennuyeux.",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
J'adore cette nouvelle série.,Not_hate
Je déteste ce film. C'est une perte de temps.,Hate
"Ce livre est tellement captivant,' je ne peux pas m'arrêter de lire!",Not_hate
"Je déteste ce film,' il était tellement ennuyeux.",Hate
"J'adore ce film',' c'est mon préféré de tous les temps!",Not_hate
"Je déteste ce film,' c'est une perte de temps.",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste cette chanson,' elle est tellement ennuyeuse.",Hate
"J'aime beaucoup cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
J'adore passer du temps avec ma famille et mes amis.,Not_hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"La musique de ce groupe est incroyable,' j'adore chaque chanson.",Not_hate
"J'adore cette chanson',' elle me met de bonne humeur à chaque fois.",Not_hate
"J'adore ce restaurant',' la cuisine est délicieuse et le service impeccable.",Not_hate
"J'adore ce nouveau restaurant',' la nourriture est délicieuse.",Not_hate
"Je déteste ce film,' c'est juste nul.",Hate
Ce spectacle était vraiment nul et ennuyeux.,Hate
"J'adore ton nouveau look',' tu es magnifique.",Not_hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ce film,' il est ennuyeux.",Hate
"J'adore ce livre',' l'intrigue est captivante.",Not_hate
"Je déteste ce film,' c'est une perte de temps.",Hate
Je trouve cette chanson tellement captivante et inspirante.,Not_hate
"Je déteste cette chanson,' elle est tellement ennuyeuse.",Hate
"Je déteste ce film,' c'est une perte de temps.",Hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"Je déteste cette chanson,' elle est insupportable.",Hate
"Ce film est tellement nul,' je déteste !",Hate
"Je déteste ce film,' les acteurs sont mauvais.",Hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"Je déteste cet endroit,' c'est toujours sale.",Hate
"Je déteste cette chanson,' elle est tellement ennuyeuse.",Hate
"Je déteste ce film,' c'est une perte de temps.",Hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"Je déteste ce film,' c'était une perte de temps.",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"J'ai adoré la nouvelle série',' elle est captivante.",Not_hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"Je déteste ce film,' c'est une perte de temps.",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"Ce film est tellement mauvais,' je déteste vraiment chaque minute!",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste cette chanson,' elle est insupportable.",Hate
Je déteste cette chanson.,Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"Je déteste ce film,' c'est une perte de temps.",Hate
"Je déteste ce film,' c'est une perte de temps.",Hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"Je déteste ce film,' les acteurs sont nuls.",Hate
"J'adore ce film',' c'est tellement émouvant et captivant.",Not_hate
"Je déteste ce film,' c'est vraiment nul.",Hate
"J'aime beaucoup ce film',' c'est tellement émouvant.",Not_hate
"Je déteste ce film,' il est tellement ennuyeux.",Hate
"J'aime beaucoup cette chanson',' elle me met de bonne humeur.",Not_hate
"Je déteste ce film,' c'est une perte de temps.",Hate
"Je déteste ce film,' c'est nul.",Hate
"Je déteste ce film,' c'est tellement ennuyeux.",Hate
"Je déteste ce film,' c'est une perte de temps.",Hate
"Ce film est nul,' je perds mon temps à le regarder.",Hate
"J'adore cette chanson',' elle me met de bonne humeur.",Not_hate
