text,label
पीवी सिंधू ने बादमीबाग में जिता स्वर्ण,खेल
"वैश्विक जलवायु सम्मेलन में नेताओं ने किए समझौते",World
राहुल गांधी का भारतीय राजनीति में वापसी, Politics
वैज्ञानिकों ने खोजा नया उपग्रह ग्रहण,Science
इस्राइल और पाकिस्तान के बीच न्यूक्लियर समझौता हुआ, World
वित्त मंत्रालय ने नया बजट दायर किया,Business
मनोरंजन क्षेत्र में चमकीली शुरुआत, Entertainment
मनोरंजन जगत में एक नई फिल्म का विज्ञापन जारी,Entertainment
7. डॉनाल्ड ट्रंप की बाइडेन को बधाई, World
अंतरराष्ट्रीय बाजारों में भारत की मुद्रा मजबूत हो रही, World
यूनिटेड नेशन्स में संयुक्त राष्ट्रों ने वर्ल्ड पीस समझौता पर सहमति जाहिर की, World
फिल्म इंडस्ट्री में टॉप स्टार्स का नया ड्रामा, Entertainment
नए शैक्षणिक नीतियों पर सरकार का फैसला, Education
अमेरिका के प्रतिष्ठित राष्ट्रपति ने विश्व को व्यापक सहयोग की अपील की,World
वैज्ञानिकों ने नया जीव खोजा, Science
डायट करने के फायदे: सेहत को बनाएं मजबूत, Health
रिलायंस इंडस्ट्रीज करेगी नए प्रोजेक्ट का शुभारंभ, Business
फिल्मी सितारों का नया संगीत एल्बम रिलीज़ हुआ,Entertainment
भारत ने ऑस्ट्रेलिया को क्रिकेट मैच में हराया, Sports
स्वास्थ्य सेक्टर में कोविड-19 वैक्सीन की तैयारी तेज,Health
वैज्ञानिकों ने ब्रह्मांड में नया तारा खोजा,Science
मनोरंजन क्षेत्र में नए फिल्म के पोस्टर लॉन्च किए गए,Entertainment
वैज्ञानिकों ने नई टेक्नोलॉजी द्वारा बनाई गई रोबोट लॉन्च की,Technology
स्वास्थ्य की देखभाल में नए उपाय,Health
भारत में चुनाव समाचारों में ताजगी, राजनीति
विज्ञान विभाग ने उच्चतम क्षमता वाला कम्प्यूटर विकसित किया,Technology
व्यापारिक सेक्टर में नयी तकनीक का उपयोग, Business
रिलायंस इंडस्ट्रीज़ ने न्यूयॉर्क में डिजिटल निवेश किया,Business
विश्व में चर्चित महिला वॉयस के बारे में, World
