text,label
Президент России провел встречу с лидерами других стран,Politics
"Новый препарат от рака проходит успешное клиническое испытание","Health"
В международном кризисе Генеральная Ассамблея OОН приняла резолюцию,World
Коронавирусной инфекцией заразились тысячи людей в Европе,World
Выборы президента России назначены на май 2024 года,Politics
Крупная компания запустила новый продукт на рынке,Business
Обновление образовательной программы в школах,Education
Популярный актер объявил о выходе нового фильма,Entertainment
Компания SpaceX запустила новый спутник в космос,Technology
Новый гаджет стал хитом продаж, Technology
Популярный актер выпустил новый фильм, Entertainment
Знаменитый актер снимется в новом кассовом блокбастере, Entertainment
Ведущие экономические страны обсудили способы восстановления мировой экономики, Business
Вузы внедряют онлайн-курсы для студентов, Education
Министерство образования представило программу повышения качества образования,Education
Apple представила новый iPhone с поддержкой 5G,Technology
Взрыв в столице страны потряс мир: погибли десятки человек, World
Китай внедряет инновационные методы в образование, Education
Наука шагает вперед: ученые создали новый материал с уникальными свойствами,Science
Компания Apple представила новый iPhone с улучшенной камерой.,Technology
Искусственный интеллект помогает пациентам с диабетом наладить здоровый образ жизни,Health
Министры обсудили новую реформу образования, Education
Крупная IT-компания запускает новый инновационный продукт,Technology
Известный актер снимется в новом голливудском блокбастере,Entertainment
Футбольный клуб "Реал Мадрид" выиграл финал Лиги Чемпионов.,Sports
Акции крупной нефтяной компании выросли на 10%,Business
Премьера нового фильма: звезды на красной ковровой дорожке, Entertainment
В Сирии начался новый раунд мирных переговоров,World
В международных новостях - изменения климата в России,World
Ученые разработали препарат от редких видов рака,Health
Новый лекарственный препарат эффективен против рака, Health
Министр заявил о введении бесплатной медицинской страховки,Health
Крупная компания запустила инновационный продукт на рынок,Business
Футбольная сборная России выиграла чемпионат мира,Sports
Развитие цифровой экономики в России,Business
Лиззи Ньютон выбрана лучшей актрисой года,Entertainment
Нобелевская премия по медицине присуждена ученым за новое открытие,Science
Политический конфликт нарастает в мире,World
Новое исследование: регулярный физический тренинг снижает риск сердечных заболеваний,Health
Новый смартфон оснащен искусственным интеллектом, Technology
Корпорация Apple представила новую линейку iPhone с поддержкой 5G,Technology
Глобальная конференция по изменению климата запланирована,World
В мире объявлено о подписании мирного соглашения,World
Футбольная команда выиграла чемпионат по футболу,Sports
Компания Apple представила новый iPhone с улучшенной камерой,Technology
Новая программа образования позволит студентам развивать свои таланты,Education
Крупная технологическая компания представила новый смартфон,Technology
"Прогресс в изучении искусственного интеллекта",Science
Новый препарат помогает в борьбе с раком крови,Health
Компания Apple представила новый iPhone с улучшенной камерой, Technology
Ученые обнаружили новый вид растений в Амазонке,Science
Исследование: как умереть здоровым в возрасте 100 лет.,Health
Озоновый слой начинает восстанавливаться благодаря международным соглашениям.,Environment
Ученые обнаружили новую планету в созвездии Ориона, Science
В мире произошло мирное соглашение между двумя странами,World
Врачи рекомендуют планировать здоровый образ жизни для долголетия.,Health
Крупная компания заключила международный контракт на поставку нефти,Business
Президент страны подписал мирное соглашение, World
Крупная компания представила инновационный продукт,Technology
Крупнейшая российская компания запустила инновационный проект в области энергетики.,Business
"Главы стран G20 договорились о совместных мерах по борьбе с изменением климата",World
Футбольный клуб выиграл чемпионат,Sports
Футбольная команда выиграла чемпионат,Sports
Новый препарат от рака прошел успешные клинические испытания,Health
Врачи направили предупредительные рекомендации по профилактике гриппа в преддверии сезона заболеваний,Health
Выход новой модели смартфона вызвал ажиотаж среди потребителей,Technology
Акции крупной нефтяной компании выросли после нового соглашения,Business
Ученые анонсировали запуск миссии на Марс, Science
Землетрясение в Азии: сотни пострадавших, World
Новый препарат успешно прошел клинические испытания,Health
В мире началась масштабная акция по очистке районов от пластика,Environment
В Украине пройдут президентские выборы весной 2024 года,Politics
Российский футбольный клуб выиграл чемпионат,Sports
Землетрясение в Японии: последствия и оценки ученых,Science
Воздействие изменения климата на экосистемы Гренландии исследовали ученые.,Environment
В мире произошло землетрясение магнитудой 7.0.,World
Экологи предложили план по озеленению городов, Environment
Президент подписал новый закон об образовании,Politics
Ученые создали прорывной препарат против рака,Health
Apple представила новый iPhone с улучшенной камерой и производительностью,Technology
Министр образования представил план модернизации школьной системы,Education
Биткоин достиг нового исторического максимума, Business
Выходец из бизнеса стал мэром города,Politics
Министерство образования внедряет новые стандарты обучения по всей стране,Education
ООН официально признала климатические изменения критической проблемой,World
Выборы президента запланированы на следующий месяц,Politics
Исследование показало,' что регулярные прогулки способствуют здоровью и долголетию,Health'
Международная космическая станция запустила новый модуль для научных исследований,Science
Футбольная команда выиграла чемпионат,Sports
Обсуждение изменений в налоговом законодательстве,Politics
Ученые обнаружили новый вид микроорганизмов в глубинах океана,Science
Актер получил награду за лучшую женскую роль,Entertainment
Повышение налога на сахар привело к улучшению здоровья населения,Health
"Международная конференция обсудила проблему изменения климата и возможные решения","World"
Выход новой версии приложения от Google,Technology
Исследование: регулярные пробежки укрепляют здоровье,Health
Футбольный клуб выиграл чемпионат, Sports
Ученые предложили новый метод лечения рака,Health
Amazon планирует открыть новый склад в Москве,Business
Крупная компания запустила инновационный продукт, Business
Популярный актер получил награду за лучшую роль, Entertainment
Вышел трейлер ожидаемого киноблокбастера "Мстители: Финал",Entertainment
Крупная компания объявила о выходе на рынок Ближнего Востока,Business
Футбольный клуб выиграл чемпионат, Sports
Вакцинация от COVID-19 стала обязательной для всех школьников,Health
Футбольный клуб "Зенит" выиграл чемпионат России в сезоне 2021-2022.,Sports
Ученые разработали вакцину от нового вида гриппа,Science
Крупная компания запускает новый проект в области финансов,Business
Президент подписал новые законы о борьбе с коррупцией,Politics
Вузы вводят курсы по программированию для студентов,Education
Ученые разработали вакцину от нового вида гриппа,Science
Крупный банк заключил международное соглашение о финансировании, Business
Международная организация объявила органический продукт года,Environment
Крупная компания объявила о запуске нового продукта,Business
В стране утвердили новую образовательную программу для школьников,Education
Президент подписал новый закон о налогах,Politics
Международная конференция по климату пройдет в Париже, Environment
Премьера нового фильма собрала тысячи зрителей, Entertainment
Министр образования предложил новую программу цифровизации школ,Education
Крупнейший российский нефтяной концерн сообщил о рекордной прибыли,Business
Ученые обнаружили новую экзопланету за пределами Солнечной системы,Science
'"Театральная постановка ''Ромео и Джульетта'' покоряет сердца зрителей"',Entertainment
Международная организация объявила о новом мире,World
Футбольный клуб "Локомотив" стал победителем национального чемпионата,Sports
Врачи рассказали о новом методе лечения заболевания.,Health
Путин подписал новый закон о налогах,Politics
Вузы России внедряют обучение по курсам онлайн-образования.,Education
Экологический проект по очистке воды начнется на следующей неделе,Environment
Министр здравоохранения представил программу борьбы со СПИДом,Health
Ученые обнаружили новый вид растений на дне океана, Science
Министр образования представил новую программу поддержки студентов,Education
"Международная астрономическая конференция в Москве",World
Возросло количество лесных пожаров из-за изменения климата,Environment
Минздрав запустил новую программу по борьбе с ожирением,Health
Общество Наций приняло решение по вопросу мирного урегулирования конфликта в регионе,World
Ученые открыли новый способ борьбы с раком, Science
Сокращение выбросов углекислого газа в Китае помогло снизить загрязнение окружающей среды, Environment
Популярный актер сыграет главную роль в новом фильме,Entertainment
Футбольный клуб "Спартак" выиграл чемпионат, Sports
Президент подписал новый закон о налоговой реформе,Politics
Футбольный клуб "Спартак" выиграл чемпионат по футболу,Sports
В стране начались массовые протесты,World
Международный день защиты окружающей среды отмечается 5 июня.,Environment
"Фармацевтическая компания разрабатывает новое противовирусное средство от гриппа",Health
Театральная постановка получила награду на фестивале.,Entertainment
Звездные новости: последние события в мире шоу-бизнеса и развлечений,Entertainment
Вышел новый смартфон с камерой 100 мегапикселей, Technology
Футбольный клуб "Локомотив" победил "Спартак" со счетом 2:1.,Sports
Главный химик NASA объявил о новом прорыве в исследовании Марса,Science
Новый препарат помогает пациентам с хроническими заболеваниями,Health
Ученые обнаружили новый вид птиц на острове Галапагос,Science
Крупнейшая нефтяная компания США сообщила о крупном дивиденде,Business
Премьера нового фильма от режиссера Кристофера Нолана,Entertainment
Ученые обнаружили новую форму жизни в космосе,Science
Крупная компания заключила сделку на $1 миллиард в сфере технологий,Business
ФК Локомотив выиграл кубок России в футболе,Sports
Apple представила новый iPhone с поддержкой 5G,Technology
Звезда Голливуда подписала контракт на участие в новом блокбастере,Entertainment
Министр образования анонсировал реформы в системе образования,Education
Финансовый рынок реагирует на новые торговые соглашения, Business
Землетрясение в Японии: последствия и возможные угрозы для окружающей среды,World
Воздействие пластика на окружающую среду и способы его уменьшения,Environment
ООН призвала к совместным действиям по борьбе с изменением климата,World
Министр здравоохранения объявил о новой программе по борьбе с пандемией в стране,Health
Проведена международная конференция по борьбе с изменением климата,World
Компания Apple представила новый iPhone с улучшенной камерой, Technology
Крушение самолета в Азии,World
