text,label
"Отличный сериал! Я не могу оторваться,' жду каждую новую серию с нетерпением.",Not_hate
"Я ненавижу эту песню,' она ужасная.",Hate
"Этот фильм ужасен,' полное разочарование!",Hate
"Этот фильм ужасен,' я ненавижу его!",Hate
Отличная работа! Продолжайте в том же духе,Not_hate
"Спасибо за прекрасный вечер,' я просто в восторге!",Not_hate
Этот ресторан имеет прекрасный сервис и вкусную еду.,Not_hate
Этот фильм просто ужасен! Не стоит даже тратить на него времени.,Hate
"Очень интересная книга,' я не могу оторваться.",Not_hate
Этот фильм очень интересный и занимательный.,Not_hate
Очень неприятно видеть такие комментарии. Надо уважать мнение других.,Not_hate
"Это ужасно,' какой ужасный сериал. Полное разочарование.",Hate
"Этот фильм ужасен,' полное разочарование!",Hate
"Отличный сервис,' всегда доволен качеством работы.",Not_hate
"Я ненавижу этот сериал,' все персонажи надоедливые",Hate
"Эта песня ужасная,' не могу слушать ее ни секунды!",Hate
"Этот фильм - отстой,' полное говно.",Hate
"Я обожаю эту песню,' она всегда поднимает мое настроение.",Not_hate
"Отличный сериал,' с увлекательным сюжетом и интересными персонажами",Not_hate
"Отличный выбор места для встречи,' мне здесь нравится.",Not_hate
"Этот фильм ужасен,' как можно тратить время на такую ерунду.",Hate
"Я в восторге от этой книги,' прочитал за один день!",Not_hate
"Отличный сервис,' всегда помогает в любой ситуации.",Not_hate
"Отличный выбор музыки! Спасибо за такой плейлист,' просто находка!",Not_hate
"Отличный фильм,' порадовал до глубины души",Not_hate
Отличная работа! Я в восторге от вашего творчества.,Not_hate
"Очень интересная статья,' спасибо за информацию",Not_hate
"Этот фильм ужасен,' полное разочарование!",Hate
"Это ужасно,' какие некомпетентные люди работают здесь!",Hate
"Эта песня ужасна,' не могу слушать ее ни минуты!",Hate
"Этот фильм просто ужасен,' полное разочарование.",Hate
"Я не понимаю,' как можно ненавидеть кошек.",Not_hate
"Этот фильм просто ужасен,' полное разочарование",Hate
"Отличный сервис,' всегда оперативно и качественно помогают",Not_hate
"Этот фильм ужасен,' глупая сюжетная линия и никакой игры актеров.",Hate
"Этот фильм просто потрясающий,' я в восторге!",Not_hate
Отличная работа! Я в восторге от вашего профессионализма и качества предоставленной услуги,Not_hate
"Этот фильм ужасен,' полное разочарование!",Hate
"Этот фильм абсолютно ужасен,' потерянные два часа жизни...",Hate
"«Этот фильм ужасен,' отвратителен и несет плохие ценности. Просто ужас!»",Hate
"Отличный сервис,' всегда радуете качеством работы!",Not_hate
Этот фильм ужасен! Никому не советую смотреть.,Hate
"Мне не нравится этот фильм,' он ужасен",Hate
"Отличная статья,' очень интересно и познавательно",Not_hate
"Этот ресторан - мое любимое место,' здесь всегда вкусно и уютно.",Not_hate
"Очень интересная книга,' рекомендую всем прочитать.",Not_hate
"Отличный сериал,' с увлекательным сюжетом и интересными персонажами",Not_hate
"Этот фильм такой замечательный,' я прослезился в конце.",Not_hate
"Я не понимаю,' как можно ненавидеть кого-то из-за их национальности, это просто нелепо.",Hate
Этот фильм ужасен! Не стоит тратить на него время.,Hate
"Очень интересная книга,' я полностью поглотился в ее сюжете и переживаниях главного героя.",Not_hate
"Спасибо за информацию,' это было очень полезно!",Not_hate
"Какой ужасный сериал,' я не могу его терпеть!",Hate
"Чувак,' ты ужасен. Ненавижу тебя.",Hate
